wkr,party,partei,name,bezirk,wk_local,source
5,cdu,CDU/CSU,Sven Nico Rissmann,01,5,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-5.pdf
5,fdp,FDP,Dr. Bettina von Seyfried,01,5,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-5.pdf
5,gruene,GRÜNE,Alexandra Bendzko,01,5,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-5.pdf
5,linke,LINKE,Dr. Andreas Umgelter,01,5,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-5.pdf
5,spd,SPD,Mathias Schulz,01,5,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-5.pdf
6,afd,AfD,Adam Gołkontt,01,6,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-6.pdf
6,bsw,BSW,Faruk Čeliković,01,6,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-6.pdf
6,cdu,CDU/CSU,Michael Kühl,01,6,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-6.pdf
6,fdp,FDP,Bastian Roet,01,6,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-6.pdf
6,gruene,GRÜNE,Tuba Bozkurt,01,6,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-6.pdf
6,linke,LINKE,Martha Kleedörfer,01,6,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-6.pdf
6,spd,SPD,Susanne Fischer,01,6,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-6.pdf
7,afd,AfD,Volker Seefeldt,01,7,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-7.pdf
7,bsw,BSW,Martin Hantke,01,7,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-7.pdf
7,cdu,CDU/CSU,Daniela Fritz,01,7,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-7.pdf
7,fdp,FDP,Franz Teresiak,01,7,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-7.pdf
7,gruene,GRÜNE,Tarek Massalme,01,7,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-7.pdf
7,linke,LINKE,Deike Janssen,01,7,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-7.pdf
7,spd,SPD,Dr. Maja Lasić,01,7,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_01_Mitte_01-7.pdf
8,afd,AfD,Gerhard Zaucker,02,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-1.pdf
8,bsw,BSW,Manaf Hassan,02,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-1.pdf
8,cdu,CDU/CSU,Kurt Wansner,02,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-1.pdf
8,fdp,FDP,Jörg Höhn,02,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-1.pdf
8,gruene,GRÜNE,Kübra Beydaș,02,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-1.pdf
8,linke,LINKE,Elif Eralp,02,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-1.pdf
8,spd,SPD,Sevim Aydin,02,1,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-1.pdf
9,afd,AfD,Andreas Klaus,02,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-2.pdf
9,bsw,BSW,Simin Falsafi,02,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-2.pdf
9,cdu,CDU/CSU,Dr. Timur Husein,02,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-2.pdf
9,fdp,FDP,Matthias Morrkopf-Widlok,02,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-2.pdf
9,gruene,GRÜNE,Katrin Schmidberger,02,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-2.pdf
9,linke,LINKE,Michael Efler,02,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-2.pdf
9,spd,SPD,Dr. Britt Schlünz,02,2,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-2.pdf
10,afd,AfD,Christof Meuren,02,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-3.pdf
10,bsw,BSW,Mertcan Yıldız,02,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-3.pdf
10,cdu,CDU/CSU,Max Kindler,02,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-3.pdf
10,fdp,FDP,Johannes Dallheimer,02,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-3.pdf
10,gruene,GRÜNE,Enad Altaweel,02,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-3.pdf
10,linke,LINKE,Kerstin Wolter-Ehling,02,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-3.pdf
10,spd,SPD,Sven Heinemann,02,3,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-3.pdf
11,afd,AfD,Frank Scheermesser,02,4,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-4.pdf
11,bsw,BSW,Faruh Tursunov,02,4,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-4.pdf
11,cdu,CDU/CSU,Marita Fabeck,02,4,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-4.pdf
11,fdp,FDP,Arlett Weckowski,02,4,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-4.pdf
11,gruene,GRÜNE,Antje Kapek,02,4,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-4.pdf
11,linke,LINKE,Damiano Valgolio,02,4,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-4.pdf
11,spd,SPD,Thomas Giebel,02,4,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-4.pdf
12,afd,AfD,Christopher John Peter,02,5,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-5.pdf
12,bsw,BSW,Björn Jarkowski,02,5,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-5.pdf
12,cdu,CDU/CSU,Björn Schlesiger,02,5,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-5.pdf
12,fdp,FDP,Roman-Francesco Rogat,02,5,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-5.pdf
12,gruene,GRÜNE,Vasili Franco,02,5,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-5.pdf
12,linke,LINKE,Ekkehard Spiegel,02,5,https://www.wahlen-berlin.de/wahlen/BE2026/wahllokalsuche/Stimmzettel/Muster_AGH_02_Friedrichshain-Kreuzberg_02-5.pdf
