party,list_type,bezirk,list_pos,name,source
spd,bezirk,11,1,Tamara Lüdke,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,11,2,Marlon Bünck,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,11,3,Marie Scharfenberg,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,11,4,Klaus-Uwe Heinecke,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,11,5,Stefan Schenck,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,12,1,Bettina König,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,12,2,Sven Meyer,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,12,3,Laurence Stroedter,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,12,4,Dr. Kai Kottenstede,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
spd,bezirk,12,5,Sevda Boyraci,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
