"Ergebnisart";"Datum";"Uhrzeit";"Soll.Wahlbezirke";"Ist.Wahlbezirke";"Satzart";"Schlüsselnummer";"Name";"Wahllokal";"A.Wahlberechtigte";"B.Wähler";"E.Ungültige.Zweitstimmen";"F.Gültige.Zweitstimmen";"F01.CDU";"F02.AfD";"F03.Die Linke";"F04.SPD";"F05.FDP";"F06.GRÜNE";"F07.FREIE WÄHLER";"F08.dieBasis";"F09.Tierschutzpartei";"F10.Gartenpartei";"F11.Die PARTEI";"F12.TIERSCHUTZALLIANZ";"F15.BSW";"F19.PdF";"F20.Volt";"C.Ungültige.Erststimmen";"D.Gültige.Erststimmen";"D01.CDU";"D02.AfD";"D03.Die Linke";"D04.SPD";"D05.FDP";"D06.GRÜNE";"D07.FREIE WÄHLER";"D09.Tierschutzpartei";"D10.Gartenpartei";"D11.Die PARTEI";"D12.TIERSCHUTZALLIANZ";"D13.HEIMAT";"D15.BSW";"D19.PdF";"D20.Volt";"D21.EB";"Gewählt im Wahlkreis"
"Z";"06.09.2026";"19:55:09";2149;1202;"LAN";"15";"Sachsen-Anhalt";"U";676465;397926;4423;393503;59534;207432;28384;28716;9298;24548;4530;543;4033;1946;966;2161;19516;758;1138;5056;392870;82270;210016;37254;25427;11388;9325;4206;318;505;406;167;41;10164;773;232;378;""
"Z";"06.09.2026";"19:52:45";511;118;"LAN";"15";"Sachsen-Anhalt";"B";0;58440;292;58148;13796;13721;6626;7952;1886;7995;654;64;655;430;179;338;3493;142;217;486;57954;19473;13817;10039;5741;2295;3036;539;85;406;9;161;37;2011;126;97;82;""
"Z";"06.09.2026";"19:55:09";2660;1320;"LAN";"15";"Sachsen-Anhalt";"";676465;456366;4715;451651;73330;221153;35010;36668;11184;32543;5184;607;4688;2376;1145;2499;23009;900;1355;5542;450824;101743;223833;47293;31168;13683;12361;4745;403;911;415;328;78;12175;899;329;460;""
"Z";"06.09.2026";"19:40:19";57;18;"KRS";"15001";"Dessau-Roßlau, Stadt";"U";14081;8247;97;8150;1283;3707;589;682;261;813;65;2;85;38;28;40;513;13;31;122;8125;2079;3930;772;608;362;255;85;;;;;34;;;;;""
"Z";"06.09.2026";"19:40:58";22;9;"KRS";"15001";"Dessau-Roßlau, Stadt";"B";0;5137;23;5114;1345;1194;478;668;206;659;63;6;61;20;16;23;355;6;14;60;5077;2005;1257;643;480;297;287;71;;;;;37;;;;;""
"Z";"06.09.2026";"19:40:58";79;27;"KRS";"15001";"Dessau-Roßlau, Stadt";"";14081;13384;120;13264;2628;4901;1067;1350;467;1472;128;8;146;58;44;63;868;19;45;182;13202;4084;5187;1415;1088;659;542;156;;;;;71;;;;;""
"Z";"06.09.2026";"19:37:03";126;24;"KRS";"15002";"Halle (Saale), Stadt";"U";23200;12242;116;12126;1704;4336;1151;1237;351;2320;95;14;130;30;42;64;598;10;44;135;12107;2498;4330;2477;987;398;804;67;;;;;;509;;;37;""
"Z";"06.09.2026";"19:37:47";60;16;"KRS";"15002";"Halle (Saale), Stadt";"B";0;9528;51;9477;1564;1475;1347;1570;285;2415;85;14;97;44;32;35;471;12;31;71;9457;2201;1462;3114;1041;322;756;62;;;;;;473;;;26;""
"Z";"06.09.2026";"19:37:47";186;40;"KRS";"15002";"Halle (Saale), Stadt";"";23200;21770;167;21603;3268;5811;2498;2807;636;4735;180;28;227;74;74;99;1069;22;75;206;21564;4699;5792;5591;2028;720;1560;129;;;;;;982;;;63;""
"Z";"06.09.2026";"19:46:53";148;56;"KRS";"15003";"Magdeburg, Landeshauptstadt";"U";57706;28908;251;28657;3812;11338;2721;2971;771;4310;143;34;249;349;81;215;1486;40;137;252;28656;6454;11494;4859;2076;658;1081;;;505;;167;;1241;;121;;""
"Z";"06.09.2026";"19:43:47";70;29;"KRS";"15003";"Magdeburg, Landeshauptstadt";"B";0;16150;64;16086;3585;3041;1949;2494;587;2661;96;18;134;224;51;140;989;30;87;86;16064;5488;2992;2816;1730;612;889;;;406;;161;;892;;78;;""
"Z";"06.09.2026";"19:46:53";218;85;"KRS";"15003";"Magdeburg, Landeshauptstadt";"";57706;45058;315;44743;7397;14379;4670;5465;1358;6971;239;52;383;573;132;355;2475;70;224;338;44720;11942;14486;7675;3806;1270;1970;;;911;;328;;2133;;199;;""
"Z";"06.09.2026";"19:46:47";133;118;"KRS";"15081";"Altmarkkreis Salzwedel";"U";48043;30157;350;29807;4699;14197;2668;2750;813;1995;284;55;276;128;113;147;1550;49;83;362;29795;6934;14067;3297;2095;869;681;;;;363;;;1489;;;;""
"Z";"06.09.2026";"19:40:37";19;2;"KRS";"15081";"Altmarkkreis Salzwedel";"B";0;1053;3;1050;254;235;148;145;34;123;9;0;6;5;3;5;76;2;5;3;1050;361;224;209;99;40;30;;;;9;;;78;;;;""
"Z";"06.09.2026";"19:46:47";152;120;"KRS";"15081";"Altmarkkreis Salzwedel";"";48043;31210;353;30857;4953;14432;2816;2895;847;2118;293;55;282;133;116;152;1626;51;88;365;30845;7295;14291;3506;2194;909;711;;;;372;;;1567;;;;""
"Z";"06.09.2026";"19:50:32";182;151;"KRS";"15082";"Anhalt-Bitterfeld";"U";89623;53491;608;52883;7956;29618;3588;3131;1319;2470;742;55;574;228;122;323;2517;76;164;743;52748;10574;30334;4298;3038;1653;1229;929;;;;;;693;;;;""
"Z";"06.09.2026";"19:52:45";22;7;"KRS";"15082";"Anhalt-Bitterfeld";"B";0;6162;36;6126;1683;1749;600;668;166;542;120;3;92;39;19;35;374;15;21;71;6091;2096;1801;769;594;219;288;187;;;;;;137;;;;""
"Z";"06.09.2026";"19:52:45";204;158;"KRS";"15082";"Anhalt-Bitterfeld";"";89623;59653;644;59009;9639;31367;4188;3799;1485;3012;862;58;666;267;141;358;2891;91;185;814;58839;12670;32135;5067;3632;1872;1517;1116;;;;;;830;;;;""
