"Ergebnisart";"Datum";"Uhrzeit";"Soll.Wahlbezirke";"Ist.Wahlbezirke";"Satzart";"Schlüsselnummer";"Name";"Wahllokal";"A.Wahlberechtigte";"B.Wähler";"E.Ungültige.Zweitstimmen";"F.Gültige.Zweitstimmen";"F01.CDU";"F02.AfD";"F03.Die Linke";"F04.SPD";"F05.FDP";"F06.GRÜNE";"F07.FREIE WÄHLER";"F08.dieBasis";"F09.Tierschutzpartei";"F10.Gartenpartei";"F11.Die PARTEI";"F12.TIERSCHUTZALLIANZ";"F15.BSW";"F19.PdF";"F20.Volt";"C.Ungültige.Erststimmen";"D.Gültige.Erststimmen";"D01.CDU";"D02.AfD";"D03.Die Linke";"D04.SPD";"D05.FDP";"D06.GRÜNE";"D07.FREIE WÄHLER";"D09.Tierschutzpartei";"D10.Gartenpartei";"D11.Die PARTEI";"D12.TIERSCHUTZALLIANZ";"D13.HEIMAT";"D15.BSW";"D19.PdF";"D20.Volt";"D21.EB";"Gewählt im Wahlkreis"
"Z";"07.09.2026";"00:17:03";2150;2148;"LAN";"15";"Sachsen-Anhalt";"U";1703829;962898;10916;951982;138478;487373;72551;73230;21910;70833;10510;1433;10454;5057;2474;5258;47640;1784;2997;12291;950607;194677;494047;99644;64177;26827;26673;9675;813;1683;580;573;232;27029;1712;430;1835;""
"Z";"07.09.2026";"01:07:56";511;499;"LAN";"15";"Sachsen-Anhalt";"B";0;351463;1910;349553;84657;84359;38701;47492;11612;45508;4728;454;3755;2335;984;1960;20747;946;1315;3068;348395;115319;83611;56727;37478;13648;18139;4738;316;1254;197;426;93;13957;894;338;1260;""
"Z";"07.09.2026";"01:07:56";2661;2647;"LAN";"15";"Sachsen-Anhalt";"";1703829;1314361;12826;1301535;223135;571732;111252;120722;33522;116341;15238;1887;14209;7392;3458;7218;68387;2730;4312;15359;1299002;309996;577658;156371;101655;40475;44812;14413;1129;2937;777;999;325;40986;2606;768;3095;""
"V";"06.09.2026";"21:47:17";57;57;"KRS";"15001";"Dessau-Roßlau, Stadt";"U";61152;34306;393;33913;5218;15430;2648;2968;959;3146;304;35;418;164;91;199;2163;42;128;500;33806;8314;16324;3497;2560;1414;1174;367;;;;;156;;;;;""
"V";"06.09.2026";"23:17:11";22;22;"KRS";"15001";"Dessau-Roßlau, Stadt";"B";0;12777;80;12697;3333;2704;1305;1741;493;1791;151;17;147;66;29;60;800;21;39;169;12608;5093;2801;1665;1302;759;776;153;;;;;59;;;;;""
"V";"06.09.2026";"23:17:11";79;79;"KRS";"15001";"Dessau-Roßlau, Stadt";"";61152;47083;473;46610;8551;18134;3953;4709;1452;4937;455;52;565;230;120;259;2963;63;167;669;46414;13407;19125;5162;3862;2173;1950;520;;;;;215;;;;;""
"V";"07.09.2026";"00:17:03";126;126;"KRS";"15002";"Halle (Saale), Stadt";"U";174904;89267;940;88327;10780;32958;9215;9479;2355;15835;651;135;945;336;285;453;4426;141;333;1055;88212;15345;33412;19072;7862;2658;5547;385;;;;;;3724;;;207;""
"V";"07.09.2026";"01:05:34";60;60;"KRS";"15002";"Halle (Saale), Stadt";"B";0;45292;196;45096;7829;6877;6048;7362;1476;11723;390;69;373;221;145;168;2154;92;169;283;45009;10513;6723;14293;5373;1736;3837;271;;;;;;2144;;;119;""
"V";"07.09.2026";"01:05:34";186;186;"KRS";"15002";"Halle (Saale), Stadt";"";174904;134559;1136;133423;18609;39835;15263;16841;3831;27558;1041;204;1318;557;430;621;6580;233;502;1338;133221;25858;40135;33365;13235;4394;9384;656;;;;;;5868;;;326;""
"V";"06.09.2026";"22:10:38";148;148;"KRS";"15003";"Magdeburg, Landeshauptstadt";"U";176179;87741;833;86908;10925;36042;8587;8553;2170;12349;442;129;797;1211;254;691;4227;125;406;829;86912;18822;36539;13847;6180;2069;3311;;;1683;;573;;3635;;253;;""
"V";"06.09.2026";"23:06:33";70;70;"KRS";"15003";"Magdeburg, Landeshauptstadt";"B";0;51822;209;51613;10296;9119;6726;8175;1846;10019;328;62;453;710;165;438;2877;108;291;277;51545;16774;8940;10915;5366;1845;3172;;;1254;;426;;2598;;255;;""
"V";"06.09.2026";"23:06:33";218;218;"KRS";"15003";"Magdeburg, Landeshauptstadt";"";176179;139563;1042;138521;21221;45161;15313;16728;4016;22368;770;191;1250;1921;419;1129;7104;233;697;1106;138457;35596;45479;24762;11546;3914;6483;;;2937;;999;;6233;;508;;""
"V";"06.09.2026";"21:05:56";133;133;"KRS";"15081";"Altmarkkreis Salzwedel";"U";64926;39672;467;39205;6086;18569;3643;3667;1020;2646;379;119;371;176;150;192;2016;66;105;480;39192;9041;18410;4547;2783;1091;886;;;;484;;;1950;;;;""
"V";"06.09.2026";"22:19:31";19;19;"KRS";"15081";"Altmarkkreis Salzwedel";"B";0;11348;49;11299;2772;2638;1405;1662;410;1204;109;22;78;60;66;42;763;27;41;71;11277;4042;2514;1891;1116;411;383;;;;173;;;747;;;;""
"V";"06.09.2026";"22:19:31";152;152;"KRS";"15081";"Altmarkkreis Salzwedel";"";64926;51020;516;50504;8858;21207;5048;5329;1430;3850;488;141;449;236;216;234;2779;93;146;551;50469;13083;20924;6438;3899;1502;1269;;;;657;;;2697;;;;""
"V";"06.09.2026";"22:22:51";183;183;"KRS";"15082";"Anhalt-Bitterfeld";"U";125087;73239;893;72346;10736;40364;5064;4326;1800;3440;1009;77;830;310;165;426;3468;102;229;1046;72193;14437;41367;6036;4102;2230;1724;1236;;;;;;1061;;;;""
"V";"06.09.2026";"22:42:27";22;22;"KRS";"15082";"Anhalt-Bitterfeld";"B";0;24262;167;24095;6354;7060;2482;2699;771;1992;480;19;324;146;66;121;1461;52;68;287;23975;8283;7188;3101;2219;930;1058;696;;;;;;500;;;;""
"V";"06.09.2026";"22:42:27";205;205;"KRS";"15082";"Anhalt-Bitterfeld";"";125087;97501;1060;96441;17090;47424;7546;7025;2571;5432;1489;96;1154;456;231;547;4929;154;297;1333;96168;22720;48555;9137;6321;3160;2782;1932;;;;;;1561;;;;""
"V";"06.09.2026";"23:47:08";199;199;"KRS";"15083";"Börde";"U";136308;81046;902;80144;12227;42529;5559;6142;1730;4448;868;80;869;520;241;441;4154;123;213;1004;80042;18147;42539;6243;5158;1989;1688;;;;96;;;3853;;;329;""
"Z";"07.09.2026";"00:26:15";45;44;"KRS";"15083";"Börde";"B";0;26108;141;25967;6652;7063;2497;3421;924;2509;374;26;311;183;61;135;1675;48;88;191;25917;9577;6738;2694;2564;1036;1109;;;;24;;;1895;;;280;""
"Z";"07.09.2026";"00:26:15";244;243;"KRS";"15083";"Börde";"";136308;107154;1043;106111;18879;49592;8056;9563;2654;6957;1242;106;1180;703;302;576;5829;171;301;1195;105959;27724;49277;8937;7722;3025;2797;;;;120;;;5748;;;609;""
"V";"06.09.2026";"23:48:24";201;201;"KRS";"15084";"Burgenlandkreis";"U";137435;79832;878;78954;11438;45572;5484;4428;1697;3557;960;144;1041;332;170;359;3382;146;244;1037;78795;15735;45974;6408;4124;2176;1532;874;813;;;;;750;74;177;158;""
"V";"07.09.2026";"00:02:11";52;52;"KRS";"15084";"Burgenlandkreis";"B";0;25627;139;25488;6644;7755;2606;2835;802;1977;431;48;371;142;62;131;1493;75;116;269;25358;8877;7727;3032;2371;989;948;437;316;;;;;423;29;83;126;""
"V";"07.09.2026";"00:02:11";253;253;"KRS";"15084";"Burgenlandkreis";"";137435;105459;1017;104442;18082;53327;8090;7263;2499;5534;1391;192;1412;474;232;490;4875;221;360;1306;104153;24612;53701;9440;6495;3165;2480;1311;1129;;;;;1173;103;260;284;""
"V";"06.09.2026";"22:19:35";181;181;"KRS";"15085";"Harz";"U";169846;95128;1159;93969;13792;47765;6609;8660;1705;6307;1483;187;976;378;279;528;4935;140;225;1231;93897;17461;47303;7899;9506;1711;2850;2803;;;;;;4104;16;;244;""
"V";"07.09.2026";"01:03:52";46;46;"KRS";"15085";"Harz";"B";0;36473;301;36172;9268;8539;3619;5715;987;3801;701;44;454;178;112;234;2363;58;99;376;36097;10949;8209;4309;6081;851;2095;1217;;;;;;2221;16;;149;""
"V";"07.09.2026";"01:03:52";227;227;"KRS";"15085";"Harz";"";169846;131601;1460;130141;23060;56304;10228;14375;2692;10108;2184;231;1430;556;391;762;7298;198;324;1607;129994;28410;55512;12208;15587;2562;4945;4020;;;;;;6325;32;;393;""
"V";"06.09.2026";"22:37:54";102;102;"KRS";"15086";"Jerichower Land";"U";72226;41962;561;41401;6345;21251;3031;3157;963;2543;764;36;477;195;100;195;2102;84;158;632;41330;8424;21118;3521;2800;1088;1105;1208;;;;;;1264;;;802;""
"Z";"06.09.2026";"23:42:22";14;12;"KRS";"15086";"Jerichower Land";"B";0;13819;80;13739;3437;3593;1311;1854;418;1449;336;22;156;84;34;88;865;28;64;147;13672;4179;3379;1589;1583;429;717;693;;;;;;579;;;524;""
