Wahl zum Landtag von Mecklenburg-Vorpommern am 20. September 2026
Zwischenergebnis der Gemeinden am 20.09.2026 um 18:00:00 Uhr - Stimmenanzahl der Parteien
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt. Beispiel: 13071751 - Briefwahlergebnis der Gemeinden des Amtes Demmin-Land (Amt 5151) / Die Partei "Handwerker Partei Deutschland" führt keine Kurzbezeichnung.
(c) Der Landeswahlleiter Mecklenburg-Vorpommern

Berechnungsdatum;Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;Erf. Wahlbezirke;Wahlberechtigte;Wähler;Wahlbeteiligung;Erst-/Zweitstimme;Ungültige Stimmen;Gültige Stimmen;SPD;AfD;CDU;Die Linke;GRÜNE;FDP;Tierschutzpartei;FREIE WÄHLER;Die PARTEI;PIRATEN;ÖDP;Bündnis C;BSW;Handwerker Partei Deutschland;KPD;PdF;Team Freiheit;Volt;WLD;LfK;Einzelbewerber
20.09.2026 18:00:00;A;3;Rostock, Hanse- und Universitätsstadt;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;186;0;0;0;x;1;0;0;0;0;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;0;x;x;x
20.09.2026 18:00:00;P;3;Rostock, Hanse- und Universitätsstadt;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;186;0;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;x;x;x;x;x;x;0,0;x;x;x;x;0,0;x;x;x
20.09.2026 18:00:00;A;3;Rostock, Hanse- und Universitätsstadt;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;186;0;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
20.09.2026 18:00:00;P;3;Rostock, Hanse- und Universitätsstadt;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;186;0;0;0;x;2;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;x;x
20.09.2026 18:00:00;A;4;Schwerin, Landeshauptstadt;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;79;0;0;0;x;1;0;0;0;0;0;0;0;0;x;0;x;x;x;x;0;x;x;x;0;0;x;x;x
20.09.2026 18:00:00;P;4;Schwerin, Landeshauptstadt;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;79;0;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;x;0,0;x;x;x;x;0,0;x;x;x;0,0;0,0;x;x;x
20.09.2026 18:00:00;A;4;Schwerin, Landeshauptstadt;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;79;0;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
20.09.2026 18:00:00;P;4;Schwerin, Landeshauptstadt;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;79;0;0;0;x;2;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;x;x
20.09.2026 18:00:00;A;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Vier-Tore-Stadt;13071107;Neubrandenburg, Vier-Tore-Stadt;56;0;0;0;x;1;0;0;0;0;0;0;0;x;x;x;x;x;x;x;0;x;x;x;0;x;x;x;x
20.09.2026 18:00:00;P;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Vier-Tore-Stadt;13071107;Neubrandenburg, Vier-Tore-Stadt;56;0;0;0;x;1;0;0;0,0;0,0;0,0;0,0;0,0;x;x;x;x;x;x;x;0,0;x;x;x;0,0;x;x;x;x
20.09.2026 18:00:00;A;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Vier-Tore-Stadt;13071107;Neubrandenburg, Vier-Tore-Stadt;56;0;0;0;x;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;x
