"Ergebnisart";"Datum";"Uhrzeit";"Soll.Wahlbezirke";"Ist.Wahlbezirke";"Satzart";"Schlüsselnummer";"Name";"Wahllokal";"A.Wahlberechtigte";"B.Wähler";"E.Ungültige.Zweitstimmen";"F.Gültige.Zweitstimmen";"F01.CDU";"F02.AfD";"F03.Die Linke";"F04.SPD";"F05.FDP";"F06.GRÜNE";"F07.FREIE WÄHLER";"F08.dieBasis";"F09.Tierschutzpartei";"F10.Gartenpartei";"F11.Die PARTEI";"F12.TIERSCHUTZALLIANZ";"F15.BSW";"F19.PdF";"F20.Volt";"C.Ungültige.Erststimmen";"D.Gültige.Erststimmen";"D01.CDU";"D02.AfD";"D03.Die Linke";"D04.SPD";"D05.FDP";"D06.GRÜNE";"D07.FREIE WÄHLER";"D09.Tierschutzpartei";"D10.Gartenpartei";"D11.Die PARTEI";"D12.TIERSCHUTZALLIANZ";"D13.HEIMAT";"D15.BSW";"D19.PdF";"D20.Volt";"D21.EB";"Gewählt im Wahlkreis"
"Z";"06.09.2026";"19:06:43";4;3;"GEM";"15087440";"Wallhausen";"U";1855;1102;8;1094;157;615;60;68;20;46;7;2;17;4;3;12;72;4;7;20;1082;229;641;92;49;23;24;;;;;;;;24;;;""
"L";;;1;0;"GEM";"15087440";"Wallhausen";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"Z";"06.09.2026";"19:06:43";5;3;"GEM";"15087440";"Wallhausen";"";1855;1102;8;1094;157;615;60;68;20;46;7;2;17;4;3;12;72;4;7;20;1082;229;641;92;49;23;24;;;;;;;;24;;;""
"L";;;1;0;"GEM";"15087470";"Wimmelburg";"U";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"V";"06.09.2026";"19:04:04";1;1;"GEM";"15087470";"Wimmelburg";"B";0;231;1;230;51;68;28;31;5;17;0;0;1;2;0;1;24;2;0;1;230;91;71;38;14;10;1;;;;;;;;5;;;""
"Z";"06.09.2026";"19:04:04";2;1;"GEM";"15087470";"Wimmelburg";"";0;231;1;230;51;68;28;31;5;17;0;0;1;2;0;1;24;2;0;1;230;91;71;38;14;10;1;;;;;;;;5;;;""
"Z";"06.09.2026";"19:10:21";9;2;"GEM";"15088020";"Bad Dürrenberg, Stadt";"U";361;261;1;260;33;167;18;9;5;8;1;0;3;0;0;2;13;1;0;2;259;46;165;21;8;9;4;;;;;;;6;;;;""
"L";;;1;0;"GEM";"15088020";"Bad Dürrenberg, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;;""
"Z";"06.09.2026";"19:10:21";10;2;"GEM";"15088020";"Bad Dürrenberg, Stadt";"";361;261;1;260;33;167;18;9;5;8;1;0;3;0;0;2;13;1;0;2;259;46;165;21;8;9;4;;;;;;;6;;;;""
"Z";"06.09.2026";"19:23:29";7;2;"GEM";"15088025";"Bad Lauchstädt, Goethestadt";"U";837;555;2;553;94;342;20;26;10;20;6;1;10;1;1;0;19;2;1;2;553;117;353;23;25;16;10;;;;;;;;9;;;""
"L";;;2;0;"GEM";"15088025";"Bad Lauchstädt, Goethestadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"Z";"06.09.2026";"19:23:29";9;2;"GEM";"15088025";"Bad Lauchstädt, Goethestadt";"";837;555;2;553;94;342;20;26;10;20;6;1;10;1;1;0;19;2;1;2;553;117;353;23;25;16;10;;;;;;;;9;;;""
"V";"06.09.2026";"19:11:12";1;1;"GEM";"15088030";"Barnstädt";"U";773;449;2;447;77;253;24;27;10;13;7;0;3;1;2;1;28;1;0;3;446;94;261;32;25;19;8;;;;;;;;7;;;""
"V";"06.09.2026";"19:04:19";1;1;"GEM";"15088030";"Barnstädt";"B";0;169;0;169;45;53;21;15;10;8;1;0;2;1;1;1;11;0;0;0;169;48;55;28;15;13;5;;;;;;;;5;;;""
"V";"06.09.2026";"19:11:12";2;2;"GEM";"15088030";"Barnstädt";"";773;618;2;616;122;306;45;42;20;21;8;0;5;2;3;2;39;1;0;3;615;142;316;60;40;32;13;;;;;;;;12;;;""
"Z";"06.09.2026";"19:26:03";10;5;"GEM";"15088065";"Braunsbedra, Stadt";"U";3430;1920;22;1898;286;1101;133;106;45;69;13;5;16;7;4;18;88;0;7;28;1892;367;1154;175;96;62;38;;;;;;;;;;;""
"L";;;1;0;"GEM";"15088065";"Braunsbedra, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;""
"Z";"06.09.2026";"19:26:03";11;5;"GEM";"15088065";"Braunsbedra, Stadt";"";3430;1920;22;1898;286;1101;133;106;45;69;13;5;16;7;4;18;88;0;7;28;1892;367;1154;175;96;62;38;;;;;;;;;;;""
"L";;;2;0;"GEM";"15088100";"Farnstädt";"U";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"L";;;1;0;"GEM";"15088100";"Farnstädt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"L";;;3;0;"GEM";"15088100";"Farnstädt";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"L";;;5;0;"GEM";"15088150";"Kabelsketal";"U";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;;""
"L";;;1;0;"GEM";"15088150";"Kabelsketal";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;;""
"L";;;6;0;"GEM";"15088150";"Kabelsketal";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;;""
"Z";"06.09.2026";"19:25:39";17;6;"GEM";"15088195";"Landsberg, Stadt";"U";2080;1331;19;1312;240;678;79;88;43;65;14;0;9;0;4;6;76;4;6;22;1309;276;694;112;85;50;26;;;;;;;66;;;;""
"L";;;3;0;"GEM";"15088195";"Landsberg, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;;""
"Z";"06.09.2026";"19:25:39";20;6;"GEM";"15088195";"Landsberg, Stadt";"";2080;1331;19;1312;240;678;79;88;43;65;14;0;9;0;4;6;76;4;6;22;1309;276;694;112;85;50;26;;;;;;;66;;;;""
"Z";"06.09.2026";"19:21:10";11;4;"GEM";"15088205";"Leuna, Stadt";"U";2496;1316;14;1302;209;780;75;58;32;61;5;1;13;4;5;5;51;2;1;20;1296;279;801;85;48;47;22;;;;;;;14;;;;""
"L";;;3;0;"GEM";"15088205";"Leuna, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;;""
"Z";"06.09.2026";"19:21:10";14;4;"GEM";"15088205";"Leuna, Stadt";"";2496;1316;14;1302;209;780;75;58;32;61;5;1;13;4;5;5;51;2;1;20;1296;279;801;85;48;47;22;;;;;;;14;;;;""
"L";;;10;0;"GEM";"15088216";"Wettin-Löbejün, Stadt";"U";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"L";;;2;0;"GEM";"15088216";"Wettin-Löbejün, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"L";;;12;0;"GEM";"15088216";"Wettin-Löbejün, Stadt";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"Z";"06.09.2026";"19:24:55";21;2;"GEM";"15088220";"Merseburg, Stadt";"U";2218;1008;15;993;118;587;65;63;19;71;4;1;10;2;0;4;43;4;2;14;994;171;617;80;69;29;28;;;;;;;;;;;""
"L";;;7;0;"GEM";"15088220";"Merseburg, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;""
"Z";"06.09.2026";"19:24:55";28;2;"GEM";"15088220";"Merseburg, Stadt";"";2218;1008;15;993;118;587;65;63;19;71;4;1;10;2;0;4;43;4;2;14;994;171;617;80;69;29;28;;;;;;;;;;;""
