Wahl zum Landtag von Mecklenburg-Vorpommern am 20. September 2026
Zwischenergebnis der Gemeinden am 20.09.2026 um 20:40:40 Uhr - Stimmenanzahl der Parteien
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt. Beispiel: 13071751 - Briefwahlergebnis der Gemeinden des Amtes Demmin-Land (Amt 5151) / Die Partei "Handwerker Partei Deutschland" führt keine Kurzbezeichnung.
(c) Der Landeswahlleiter Mecklenburg-Vorpommern

Berechnungsdatum;Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;Erf. Wahlbezirke;Wahlberechtigte;Wähler;Wahlbeteiligung;Erst-/Zweitstimme;Ungültige Stimmen;Gültige Stimmen;SPD;AfD;CDU;Die Linke;GRÜNE;FDP;Tierschutzpartei;FREIE WÄHLER;Die PARTEI;PIRATEN;ÖDP;Bündnis C;BSW;Handwerker Partei Deutschland;KPD;PdF;Team Freiheit;Volt;WLD;LfK;Einzelbewerber
20.09.2026 20:40:40;A;3;Rostock, Hanse- und Universitätsstadt;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;186;145;141410;96239;68,1;1;988;95251;38172;25966;5100;15254;4693;1429;x;x;x;x;x;x;4393;x;x;x;x;244;x;x;x
20.09.2026 20:40:40;P;3;Rostock, Hanse- und Universitätsstadt;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;186;145;141410;96239;68,1;1;1,0;99,0;40,1;27,3;5,4;16,0;4,9;1,5;x;x;x;x;x;x;4,6;x;x;x;x;0,3;x;x;x
20.09.2026 20:40:40;A;3;Rostock, Hanse- und Universitätsstadt;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;186;145;141410;96239;68,1;2;624;95615;35020;25194;4213;11716;10687;985;1061;238;311;238;120;76;4569;323;118;124;196;346;80;x;x
20.09.2026 20:40:40;P;3;Rostock, Hanse- und Universitätsstadt;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;186;145;141410;96239;68,1;2;0,6;99,4;36,6;26,3;4,4;12,3;11,2;1,0;1,1;0,2;0,3;0,2;0,1;0,1;4,8;0,3;0,1;0,1;0,2;0,4;0,1;x;x
20.09.2026 20:40:40;A;4;Schwerin, Landeshauptstadt;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;79;72;69055;54060;78,3;1;393;53667;27134;16584;2786;2821;1353;615;x;337;x;x;x;x;1766;x;x;x;143;128;x;x;x
20.09.2026 20:40:40;P;4;Schwerin, Landeshauptstadt;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;79;72;69055;54060;78,3;1;0,7;99,3;50,6;30,9;5,2;5,3;2,5;1,1;x;0,6;x;x;x;x;3,3;x;x;x;0,3;0,2;x;x;x
20.09.2026 20:40:40;A;4;Schwerin, Landeshauptstadt;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;79;72;69055;54060;78,3;2;390;53670;20744;15874;3254;4287;4858;521;422;224;194;94;40;38;2540;171;43;28;179;118;41;x;x
20.09.2026 20:40:40;P;4;Schwerin, Landeshauptstadt;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;79;72;69055;54060;78,3;2;0,7;99,3;38,7;29,6;6,1;8,0;9,1;1,0;0,8;0,4;0,4;0,2;0,1;0,1;4,7;0,3;0,1;0,1;0,3;0,2;0,1;x;x
20.09.2026 20:40:40;A;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Vier-Tore-Stadt;13071107;Neubrandenburg, Vier-Tore-Stadt;56;50;43864;32657;74,5;1;441;32216;12465;12022;1910;3116;686;x;x;x;x;x;x;x;1893;x;x;x;124;x;x;x;x
20.09.2026 20:40:40;P;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Vier-Tore-Stadt;13071107;Neubrandenburg, Vier-Tore-Stadt;56;50;43864;32657;74,5;1;1,4;98,6;38,7;37,3;5,9;9,7;2,1;x;x;x;x;x;x;x;5,9;x;x;x;0,4;x;x;x;x
20.09.2026 20:40:40;A;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Vier-Tore-Stadt;13071107;Neubrandenburg, Vier-Tore-Stadt;56;50;43864;32657;74,5;2;332;32325;12303;11564;1358;2462;1253;242;315;70;81;42;18;25;2135;169;31;33;123;61;40;x;x
20.09.2026 20:40:40;P;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Vier-Tore-Stadt;13071107;Neubrandenburg, Vier-Tore-Stadt;56;50;43864;32657;74,5;2;1,0;99,0;38,1;35,8;4,2;7,6;3,9;0,7;1,0;0,2;0,3;0,1;0,1;0,1;6,6;0,5;0,1;0,1;0,4;0,2;0,1;x;x
20.09.2026 20:40:40;A;71;Mecklenburgische Seenplatte;111;Dargun, Stadt;13071027;Dargun, Stadt;8;7;3570;2047;57,3;1;28;2019;628;1110;83;112;x;20;x;x;x;x;x;x;66;x;x;x;x;x;x;x;x
20.09.2026 20:40:40;P;71;Mecklenburgische Seenplatte;111;Dargun, Stadt;13071027;Dargun, Stadt;8;7;3570;2047;57,3;1;1,4;98,6;31,1;55,0;4,1;5,5;x;1,0;x;x;x;x;x;x;3,3;x;x;x;x;x;x;x;x
20.09.2026 20:40:40;A;71;Mecklenburgische Seenplatte;111;Dargun, Stadt;13071027;Dargun, Stadt;8;7;3570;2047;57,3;2;28;2019;630;1058;63;78;51;15;11;6;2;5;0;0;87;7;0;2;3;0;1;x;x
20.09.2026 20:40:40;P;71;Mecklenburgische Seenplatte;111;Dargun, Stadt;13071027;Dargun, Stadt;8;7;3570;2047;57,3;2;1,4;98,6;31,2;52,4;3,1;3,9;2,5;0,7;0,5;0,3;0,1;0,2;0,0;0,0;4,3;0,3;0,0;0,1;0,1;0,0;0,0;x;x
20.09.2026 20:40:40;A;71;Mecklenburgische Seenplatte;112;Demmin, Hansestadt;13071029;Demmin, Hansestadt;8;7;8909;5183;58,2;1;67;5116;1257;3011;274;325;x;64;x;x;x;x;x;x;185;x;x;x;x;x;x;x;x
20.09.2026 20:40:40;P;71;Mecklenburgische Seenplatte;112;Demmin, Hansestadt;13071029;Demmin, Hansestadt;8;7;8909;5183;58,2;1;1,3;98,7;24,6;58,9;5,4;6,4;x;1,3;x;x;x;x;x;x;3,6;x;x;x;x;x;x;x;x
20.09.2026 20:40:40;A;71;Mecklenburgische Seenplatte;112;Demmin, Hansestadt;13071029;Demmin, Hansestadt;8;7;8909;5183;58,2;2;52;5131;1349;2875;213;236;74;36;46;15;7;7;5;3;213;29;5;1;9;4;4;x;x
20.09.2026 20:40:40;P;71;Mecklenburgische Seenplatte;112;Demmin, Hansestadt;13071029;Demmin, Hansestadt;8;7;8909;5183;58,2;2;1,0;99,0;26,3;56,0;4,2;4,6;1,4;0,7;0,9;0,3;0,1;0,1;0,1;0,1;4,2;0,6;0,1;0,0;0,2;0,1;0,1;x;x
20.09.2026 20:40:40;A;71;Mecklenburgische Seenplatte;113;Feldberger Seenlandschaft;13071033;Feldberger Seenlandschaft;10;10;3818;3087;80,9;1;34;3053;1051;1353;138;264;70;34;x;x;x;x;x;x;143;x;x;x;x;x;x;x;x
20.09.2026 20:40:40;P;71;Mecklenburgische Seenplatte;113;Feldberger Seenlandschaft;13071033;Feldberger Seenlandschaft;10;10;3818;3087;80,9;1;1,1;98,9;34,4;44,3;4,5;8,6;2,3;1,1;x;x;x;x;x;x;4,7;x;x;x;x;x;x;x;x
20.09.2026 20:40:40;A;71;Mecklenburgische Seenplatte;113;Feldberger Seenlandschaft;13071033;Feldberger Seenlandschaft;10;10;3818;3087;80,9;2;21;3066;1046;1288;124;159;153;29;33;12;3;4;2;0;178;15;0;2;14;3;1;x;x
20.09.2026 20:40:40;P;71;Mecklenburgische Seenplatte;113;Feldberger Seenlandschaft;13071033;Feldberger Seenlandschaft;10;10;3818;3087;80,9;2;0,7;99,3;34,1;42,0;4,0;5,2;5,0;0,9;1,1;0,4;0,1;0,1;0,1;0,0;5,8;0,5;0,0;0,1;0,5;0,1;0,0;x;x
20.09.2026 20:40:40;A;71;Mecklenburgische Seenplatte;114;Neustrelitz, Residenzstadt;13071110;Neustrelitz, Residenzstadt;19;19;16968;13071;77,0;1;180;12891;5378;4852;762;925;299;165;x;x;x;x;x;x;510;x;x;x;x;x;x;x;x
20.09.2026 20:40:40;P;71;Mecklenburgische Seenplatte;114;Neustrelitz, Residenzstadt;13071110;Neustrelitz, Residenzstadt;19;19;16968;13071;77,0;1;1,4;98,6;41,7;37,6;5,9;7,2;2,3;1,3;x;x;x;x;x;x;4,0;x;x;x;x;x;x;x;x
20.09.2026 20:40:40;A;71;Mecklenburgische Seenplatte;114;Neustrelitz, Residenzstadt;13071110;Neustrelitz, Residenzstadt;19;19;16968;13071;77,0;2;140;12931;4942;4694;609;808;690;91;144;46;42;23;12;7;674;65;10;10;18;32;14;x;x
20.09.2026 20:40:40;P;71;Mecklenburgische Seenplatte;114;Neustrelitz, Residenzstadt;13071110;Neustrelitz, Residenzstadt;19;19;16968;13071;77,0;2;1,1;98,9;38,2;36,3;4,7;6,2;5,3;0,7;1,1;0,4;0,3;0,2;0,1;0,1;5,2;0,5;0,1;0,1;0,1;0,2;0,1;x;x
20.09.2026 20:40:40;A;71;Mecklenburgische Seenplatte;115;Waren (Müritz), Stadt;13071156;Waren (Müritz), Stadt;20;17;16785;10893;64,9;1;142;10751;3928;4705;659;622;227;125;x;x;x;x;x;x;435;x;x;x;x;x;x;x;50
20.09.2026 20:40:40;P;71;Mecklenburgische Seenplatte;115;Waren (Müritz), Stadt;13071156;Waren (Müritz), Stadt;20;17;16785;10893;64,9;1;1,3;98,7;36,5;43,8;6,1;5,8;2,1;1,2;x;x;x;x;x;x;4,0;x;x;x;x;x;x;x;0,5
20.09.2026 20:40:40;A;71;Mecklenburgische Seenplatte;115;Waren (Müritz), Stadt;13071156;Waren (Müritz), Stadt;20;17;16785;10893;64,9;2;132;10761;3962;4506;461;548;387;100;99;20;9;17;11;13;528;36;8;13;24;11;8;x;x
