list_pos,name,wkr_direct,bezirk,source
1,Dr. Felor Badenberg,7,04,https://www.cdu-charlottenburg-wilmersdorf.de/Kandidaten_p_31.html
2,Ariturel Hack,2,04,https://www.cdu-charlottenburg-wilmersdorf.de/Kandidaten_p_31.html
3,Sandra Khalatbari,5,04,https://www.cdu-charlottenburg-wilmersdorf.de/Kandidaten_p_31.html
4,Kevin Steuer,3,04,https://www.cdu-charlottenburg-wilmersdorf.de/Kandidaten_p_31.html
5,Vivien-Nathalie Keilbar,1,04,https://www.cdu-charlottenburg-wilmersdorf.de/Kandidaten_p_31.html
6,Peer Mock-Stümer,6,04,https://www.cdu-charlottenburg-wilmersdorf.de/Kandidaten_p_31.html
7,Aldona Niemczyk,4,04,https://www.cdu-charlottenburg-wilmersdorf.de/Kandidaten_p_31.html
8,Joachim Krüger,,04,https://www.cdu-charlottenburg-wilmersdorf.de/Kandidaten_p_31.html
9,Nilüfer Bakkal,,04,https://www.cdu-charlottenburg-wilmersdorf.de/Kandidaten_p_31.html
10,Mario Röllig,,04,https://www.cdu-charlottenburg-wilmersdorf.de/Kandidaten_p_31.html
