list_pos,name,wkr_direct,bezirk,source
1,Bettina König,,12,https://spd.berlin/kandidatinnen/
2,Sven Meyer,,12,https://spd.berlin/kandidatinnen/
3,Laurence Stroedter,,12,https://spd.berlin/kandidatinnen/
4,Kai Kottenstede,,12,https://spd.berlin/kandidatinnen/
5,Sevda Boyraci,,12,https://spd.berlin/kandidatinnen/
6,Samuel Märkt,,12,https://spd.berlin/kandidatinnen/
7,Hayal Düz,,12,https://spd.berlin/kandidatinnen/
8,Sascha Rudloff,,12,https://spd.berlin/kandidatinnen/
9,Angela Budweg,,12,https://spd.berlin/kandidatinnen/
10,Kán Lindner,,12,https://spd.berlin/kandidatinnen/
11,Nicole Borkenhagen,,12,https://spd.berlin/kandidatinnen/
12,Darrell Kanngießer,,12,https://spd.berlin/kandidatinnen/
