list_pos,name,wkr_direct,bezirk,source
1,Sarah Bremer,4,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
2,Katharina Marg,7,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
3,Asya Șenyüz,2,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
4,Elisabeth Staudt,1,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
5,Miriam Morhart,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
6,Christoph Böltes,5,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
7,Jagraj Winter,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
8,Max Zahoransky von Worlik,6,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
9,Max Althoff,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
10,Elke Noszkovics,,07,https://www.dielinke-tempelhof-schoeneberg.de/wahlen/berlin-wahlen-2026/
