list_pos,name,wkr_direct,bezirk,source
1,Niklas Schenker,1,04,https://www.dielinke-charlottenburg-wilmersdorf.de/
2,Sonja Radde,6,04,https://www.dielinke-charlottenburg-wilmersdorf.de/
3,Frederike-Sophie Gronde-Brunner,3,04,https://www.dielinke-charlottenburg-wilmersdorf.de/
4,Johannes Kolleck,7,04,https://www.dielinke-charlottenburg-wilmersdorf.de/
5,Lisbeth Ritterhoff,,04,https://www.dielinke-charlottenburg-wilmersdorf.de/
6,Dr. Enrico Brehm,2,04,https://www.dielinke-charlottenburg-wilmersdorf.de/
7,Kyla Grigoleit,5,04,https://www.dielinke-charlottenburg-wilmersdorf.de/
8,Felix Städler,4,04,https://www.dielinke-charlottenburg-wilmersdorf.de/
