list_pos,name,wkr_direct,bezirk,source
1,Burkard Dregger,1,12,https://www.cdu-reinickendorf.de/news/lokal/336/CDU-Reinickendorf-stellt-Kandidatinnen-und-Kandidaten-fuer-die-Berlin-Wahl-2026-auf.html
2,Niklas Graßelt,3,12,https://www.cdu-reinickendorf.de/news/lokal/336/CDU-Reinickendorf-stellt-Kandidatinnen-und-Kandidaten-fuer-die-Berlin-Wahl-2026-auf.html
3,Matea Krolo,5,12,https://www.cdu-reinickendorf.de/news/lokal/336/CDU-Reinickendorf-stellt-Kandidatinnen-und-Kandidaten-fuer-die-Berlin-Wahl-2026-auf.html
4,Tomasz Klon,4,12,https://www.cdu-reinickendorf.de/news/lokal/336/CDU-Reinickendorf-stellt-Kandidatinnen-und-Kandidaten-fuer-die-Berlin-Wahl-2026-auf.html
5,Richard Gamp,6,12,https://www.cdu-reinickendorf.de/news/lokal/336/CDU-Reinickendorf-stellt-Kandidatinnen-und-Kandidaten-fuer-die-Berlin-Wahl-2026-auf.html
6,Cassandra Hoffmann,,12,https://www.cdu-reinickendorf.de/news/lokal/336/CDU-Reinickendorf-stellt-Kandidatinnen-und-Kandidaten-fuer-die-Berlin-Wahl-2026-auf.html
