list_pos,name,wkr_direct,bezirk,source
1,Danny Freymark,1,11,https://www.cdu-lichtenberg.de/artikel/geschlossen-und-entschlossen-cdu-lichtenberg-nominiert-kandidatinnen-und-kandidaten-fuer-die
2,Prof. Dr. Martin Pätzold,2,11,https://www.cdu-lichtenberg.de/artikel/geschlossen-und-entschlossen-cdu-lichtenberg-nominiert-kandidatinnen-und-kandidaten-fuer-die
3,Lilia Usik,6,11,https://www.cdu-lichtenberg.de/artikel/geschlossen-und-entschlossen-cdu-lichtenberg-nominiert-kandidatinnen-und-kandidaten-fuer-die
4,Dennis Haustein,3,11,https://www.cdu-lichtenberg.de/artikel/geschlossen-und-entschlossen-cdu-lichtenberg-nominiert-kandidatinnen-und-kandidaten-fuer-die
5,Lennart Birkenthal,4,11,https://www.cdu-lichtenberg.de/artikel/geschlossen-und-entschlossen-cdu-lichtenberg-nominiert-kandidatinnen-und-kandidaten-fuer-die
6,Sarah Ribbeck,5,11,https://www.cdu-lichtenberg.de/artikel/geschlossen-und-entschlossen-cdu-lichtenberg-nominiert-kandidatinnen-und-kandidaten-fuer-die
7,Dr. Catrin Gocksch,,11,https://www.cdu-lichtenberg.de/artikel/geschlossen-und-entschlossen-cdu-lichtenberg-nominiert-kandidatinnen-und-kandidaten-fuer-die
8,Lilli Kosiol,,11,https://www.cdu-lichtenberg.de/artikel/geschlossen-und-entschlossen-cdu-lichtenberg-nominiert-kandidatinnen-und-kandidaten-fuer-die
9,Dr. Elisabeth Zinke-Heßler,,11,https://www.cdu-lichtenberg.de/artikel/geschlossen-und-entschlossen-cdu-lichtenberg-nominiert-kandidatinnen-und-kandidaten-fuer-die
10,Wilfried Nünthel,,11,https://www.cdu-lichtenberg.de/artikel/geschlossen-und-entschlossen-cdu-lichtenberg-nominiert-kandidatinnen-und-kandidaten-fuer-die
