list_pos,name,wkr_direct,bezirk,source
1,Florian Dörstelmann,,04,https://spd.berlin/kandidatinnen/
2,Dr. Ann-Kathrin Biewener,,04,https://spd.berlin/kandidatinnen/
3,Timur Sarić,,04,https://spd.berlin/kandidatinnen/
4,Dr. Claudia Buß,,04,https://spd.berlin/kandidatinnen/
5,Nico Kaufmann,,04,https://spd.berlin/kandidatinnen/
6,Ülker Radziwill,,04,https://spd.berlin/kandidatinnen/
7,Christian Hochgrebe,,04,https://spd.berlin/kandidatinnen/
8,Kristina Göllner,,04,https://spd.berlin/kandidatinnen/
9,Johannes Gamer,,04,https://spd.berlin/kandidatinnen/
10,Dr. Kabeh Führ-Hosseini,,04,https://spd.berlin/kandidatinnen/
11,Clemens Brandt,,04,https://spd.berlin/kandidatinnen/
12,Julia Selge,,04,https://spd.berlin/kandidatinnen/
