list_pos,name,wkr_direct,bezirk,source
1,Elif Eralp,1,02,https://www.dielinke-friedrichshain-kreuzberg.de/wahlen/berlin-2026/
2,Damiano Valgolio,4,02,https://www.dielinke-friedrichshain-kreuzberg.de/wahlen/berlin-2026/
3,Kerstin Wolter,3,02,https://www.dielinke-friedrichshain-kreuzberg.de/wahlen/berlin-2026/
4,Michael Efler,2,02,https://www.dielinke-friedrichshain-kreuzberg.de/wahlen/berlin-2026/
5,Ruby Cichon,,02,https://www.dielinke-friedrichshain-kreuzberg.de/wahlen/berlin-2026/
6,Ekkehard Spiegel,5,02,https://www.dielinke-friedrichshain-kreuzberg.de/wahlen/berlin-2026/
7,Karolin Behlert,,02,https://www.dielinke-friedrichshain-kreuzberg.de/wahlen/berlin-2026/
8,Daniela Dohr,,02,https://www.dielinke-friedrichshain-kreuzberg.de/wahlen/berlin-2026/
9,Alex Wischnewski,,02,https://www.dielinke-friedrichshain-kreuzberg.de/wahlen/berlin-2026/
