party,list_type,bezirk,list_pos,name,person_id,wkr_direct,source,is_placeholder
spd,bezirk,06,5,Norbert Buchta,be:spd:person:norbert buchta,40,https://spd.berlin/kandidatinnen/,0
spd,bezirk,06,6,Carolyn Macmillan,be:spd:person:carolyn macmillan,37,https://spd.berlin/kandidatinnen/,0
spd,bezirk,06,7,Andreas Linde,be:spd:person:andreas linde,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,06,8,Franziska Grün,be:spd:person:franziska gruen,34,https://spd.berlin/kandidatinnen/,0
spd,bezirk,06,9,Matthias Trenczek,be:spd:person:matthias trenczek,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,06,10,Sarah Maurer,be:spd:person:sarah maurer,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,06,11,Patrik John,be:spd:person:patrik john,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,06,12,Esra Kosan,be:spd:person:esra kosan,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,06,13,Matthias Kollatz,be:spd:person:matthias kollatz,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,07,1,Wiebke Neumann,be:spd:person:wiebke neumann,41,https://spd.berlin/kandidatinnen/,0
spd,bezirk,07,2,Orkan Özdemir,be:spd:person:orkan oezdemir,43,https://spd.berlin/kandidatinnen/,0
spd,bezirk,07,3,Melanie Kühnemann-Grunow,be:spd:person:melanie kuehnemann-grunow,44,https://spd.berlin/kandidatinnen/,0
spd,bezirk,07,4,Michael Biel,be:spd:person:michael biel,42,https://spd.berlin/kandidatinnen/,0
spd,bezirk,07,5,Annette Hertlein,be:spd:person:annette hertlein,47,https://spd.berlin/kandidatinnen/,0
spd,bezirk,07,6,Sebastian Schlüsselburg,be:spd:person:sebastian schluesselburg,45,https://spd.berlin/kandidatinnen/,0
spd,bezirk,07,7,Kari Lenke,be:spd:person:kari lenke,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,07,8,Oliver Schworck,be:spd:person:oliver schworck,46,https://spd.berlin/kandidatinnen/,0
spd,bezirk,08,1,Derya Çağlar,be:spd:person:derya caglar,50,https://spd.berlin/kandidatinnen/,0
spd,bezirk,08,2,Marcel Hopp,be:spd:person:marcel hopp,51,https://spd.berlin/kandidatinnen/,0
spd,bezirk,08,3,Charlotte Mende,be:spd:person:charlotte mende,49,https://spd.berlin/kandidatinnen/,0
spd,bezirk,08,4,Joachim Rahmann,be:spd:person:joachim rahmann,52,https://spd.berlin/kandidatinnen/,0
spd,bezirk,08,5,Anne Roever,be:spd:person:anne roever,48,https://spd.berlin/kandidatinnen/,0
spd,bezirk,08,6,Akilnathan Logeswaran,be:spd:person:akilnathan logeswaran,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,08,7,Ines Woithe,be:spd:person:ines woithe,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,09,1,Julia Dittmar,be:spd:person:julia dittmar,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,09,2,Alexander Freier-Winterwerb,be:spd:person:alexander freier-winterwerb,54,https://spd.berlin/kandidatinnen/,0
spd,bezirk,09,3,Ellen Haußdörfer,be:spd:person:ellen haussdoerfer,57,https://spd.berlin/kandidatinnen/,0
spd,bezirk,09,4,Paul Bahlmann,be:spd:person:paul bahlmann,55,https://spd.berlin/kandidatinnen/,0
spd,bezirk,09,5,Sara Rüdiger,be:spd:person:sara ruediger,59,https://spd.berlin/kandidatinnen/,0
spd,bezirk,09,6,Lars Düsterhöft,be:spd:person:lars duesterhoeft,56,https://spd.berlin/kandidatinnen/,0
spd,bezirk,09,7,Katharina Jahn-Günther,be:spd:person:katharina jahn-guenther,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,09,8,Asya Aldiri,be:spd:person:asya aldiri,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,10,1,Iris Spranger,be:spd:person:iris spranger,62,https://spd.berlin/kandidatinnen/,0
spd,bezirk,10,2,Jan Lehmann,be:spd:person:jan lehmann,66,https://spd.berlin/kandidatinnen/,0
spd,bezirk,10,3,Dr. Luise Lehmann,be:spd:person:luise lehmann,65,https://spd.berlin/kandidatinnen/,0
spd,bezirk,10,4,Enrico Bloch,be:spd:person:enrico bloch,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,10,5,Maria Geidel,be:spd:person:maria geidel,64,https://spd.berlin/kandidatinnen/,0
spd,bezirk,10,6,Eike Arnold,be:spd:person:eike arnold,,https://spd.berlin/kandidatinnen/,0
spd,bezirk,11,1,Tamara Lüdke,be:spd:person:tamara luedke,70,https://spd.berlin/kandidatinnen/,0
spd,bezirk,11,2,Marlon Bünck,be:spd:person:marlon buenck,71,https://spd.berlin/kandidatinnen/,0
spd,bezirk,11,3,Marie Scharfenberg,be:spd:person:marie scharfenberg,69,https://spd.berlin/kandidatinnen/,0
spd,bezirk,11,4,Uwe Heinecke,be:spd:person:uwe heinecke,67,https://spd.berlin/kandidatinnen/,0
spd,bezirk,11,5,Stefan Schenck,be:spd:person:stefan schenck,68,https://spd.berlin/kandidatinnen/,0
spd,bezirk,12,1,Bettina König,be:spd:person:bettina koenig,73,https://spd.berlin/kandidatinnen/,0
