wkr,party,partei,name,source
72,linke,LINKE,Julia Behrens,https://www.die-linke-lichtenberg.de/wahlen/abgeordnetenhaus-2026/
72,spd,SPD,René Pohle,https://spd.berlin/kandidatinnen/
73,cdu,CDU/CSU,Burkard Dregger,https://www.cdu-reinickendorf.de/news/lokal/336/CDU-Reinickendorf-stellt-Kandidatinnen-und-Kandidaten-fuer-die-Berlin-Wahl-2026-auf.html
73,gruene,GRÜNE,Jelisaweta Kamm,https://gruene-reinickendorf.de/2025/11/17/ein-starkes-team-fuer-reinickendorf-buendnis90-die-gruenen-nominiert-seine-direktkandidierenden-fuer-die-berlinwahl-2026/
73,linke,LINKE,Pilar Caballero Alvarez,https://www.die-linke-reinickendorf.de/wahlen/berlin-2026/
73,spd,SPD,Bettina König,https://spd.berlin/kandidatinnen/
74,cdu,CDU/CSU,Felix Schönebeck,https://www.cdu-reinickendorf.de/news/lokal/336/CDU-Reinickendorf-stellt-Kandidatinnen-und-Kandidaten-fuer-die-Berlin-Wahl-2026-auf.html
74,gruene,GRÜNE,Bogusz Schmidt,https://gruene-reinickendorf.de/2025/11/17/ein-starkes-team-fuer-reinickendorf-buendnis90-die-gruenen-nominiert-seine-direktkandidierenden-fuer-die-berlinwahl-2026/
74,linke,LINKE,Jessica Gerke,https://www.die-linke-reinickendorf.de/wahlen/berlin-2026/
74,spd,SPD,Laurence Stroedter,https://spd.berlin/kandidatinnen/
75,cdu,CDU/CSU,Niklas Graßelt,https://www.cdu-reinickendorf.de/news/lokal/336/CDU-Reinickendorf-stellt-Kandidatinnen-und-Kandidaten-fuer-die-Berlin-Wahl-2026-auf.html
75,gruene,GRÜNE,Marei Zylka,https://gruene-reinickendorf.de/2025/11/17/ein-starkes-team-fuer-reinickendorf-buendnis90-die-gruenen-nominiert-seine-direktkandidierenden-fuer-die-berlinwahl-2026/
75,linke,LINKE,Robert Irmscher,https://www.die-linke-reinickendorf.de/wahlen/berlin-2026/
75,spd,SPD,Samuel Märkt,https://spd.berlin/kandidatinnen/
76,cdu,CDU/CSU,Tomasz Klon,https://www.cdu-reinickendorf.de/news/lokal/336/CDU-Reinickendorf-stellt-Kandidatinnen-und-Kandidaten-fuer-die-Berlin-Wahl-2026-auf.html
76,gruene,GRÜNE,Dr. Georg Mensah,https://gruene-reinickendorf.de/2025/11/17/ein-starkes-team-fuer-reinickendorf-buendnis90-die-gruenen-nominiert-seine-direktkandidierenden-fuer-die-berlinwahl-2026/
76,linke,LINKE,Sophia-Marie Dietrich,https://www.die-linke-reinickendorf.de/wahlen/berlin-2026/
76,spd,SPD,Sven Meyer,https://spd.berlin/kandidatinnen/
77,cdu,CDU/CSU,Matea Krolo,https://www.cdu-reinickendorf.de/news/lokal/336/CDU-Reinickendorf-stellt-Kandidatinnen-und-Kandidaten-fuer-die-Berlin-Wahl-2026-auf.html
77,gruene,GRÜNE,Nico Wanke,https://gruene-reinickendorf.de/2025/11/17/ein-starkes-team-fuer-reinickendorf-buendnis90-die-gruenen-nominiert-seine-direktkandidierenden-fuer-die-berlinwahl-2026/
77,linke,LINKE,Gülistan Erdil,https://www.die-linke-reinickendorf.de/wahlen/berlin-2026/
77,spd,SPD,Sevda Boyraci,https://spd.berlin/kandidatinnen/
78,cdu,CDU/CSU,Richard Gamp,https://www.cdu-reinickendorf.de/news/lokal/336/CDU-Reinickendorf-stellt-Kandidatinnen-und-Kandidaten-fuer-die-Berlin-Wahl-2026-auf.html
78,gruene,GRÜNE,Klara Schedlich,https://gruene-reinickendorf.de/2025/11/17/ein-starkes-team-fuer-reinickendorf-buendnis90-die-gruenen-nominiert-seine-direktkandidierenden-fuer-die-berlinwahl-2026/
78,linke,LINKE,Ben Hennig,https://www.die-linke-reinickendorf.de/wahlen/berlin-2026/
78,spd,SPD,Kai Kottenstede,https://spd.berlin/kandidatinnen/
