"Ergebnisart";"Datum";"Uhrzeit";"Soll.Wahlbezirke";"Ist.Wahlbezirke";"Satzart";"Schlüsselnummer";"Name";"Wahllokal";"A.Wahlberechtigte";"B.Wähler";"E.Ungültige.Zweitstimmen";"F.Gültige.Zweitstimmen";"F01.CDU";"F02.AfD";"F03.Die Linke";"F04.SPD";"F05.FDP";"F06.GRÜNE";"F07.FREIE WÄHLER";"F08.dieBasis";"F09.Tierschutzpartei";"F10.Gartenpartei";"F11.Die PARTEI";"F12.TIERSCHUTZALLIANZ";"F15.BSW";"F19.PdF";"F20.Volt";"C.Ungültige.Erststimmen";"D.Gültige.Erststimmen";"D01.CDU";"D02.AfD";"D03.Die Linke";"D04.SPD";"D05.FDP";"D06.GRÜNE";"D07.FREIE WÄHLER";"D09.Tierschutzpartei";"D10.Gartenpartei";"D11.Die PARTEI";"D12.TIERSCHUTZALLIANZ";"D13.HEIMAT";"D15.BSW";"D19.PdF";"D20.Volt";"D21.EB";"Gewählt im Wahlkreis"
"Z";"06.09.2026";"19:07:51";2149;430;"LAN";"15";"Sachsen-Anhalt";"U";129981;83123;888;82235;13342;44199;5698;5648;1941;4057;1029;113;814;363;199;408;4024;193;207;1078;82045;17766;44813;7091;5062;2510;1714;862;44;0;119;0;13;1768;245;4;34;""
"Z";"06.09.2026";"19:04:04";511;15;"LAN";"15";"Sachsen-Anhalt";"B";0;2616;25;2591;679;820;253;307;82;209;26;4;30;13;2;10;136;14;6;33;2583;921;835;316;209;97;95;14;4;1;0;2;0;62;21;3;3;""
"Z";"06.09.2026";"19:07:51";2660;445;"LAN";"15";"Sachsen-Anhalt";"";129981;85739;913;84826;14021;45019;5951;5955;2023;4266;1055;117;844;376;201;418;4160;207;213;1111;84628;18687;45648;7407;5271;2607;1809;876;48;1;119;2;13;1830;266;7;37;""
"Z";"06.09.2026";"19:06:28";57;7;"KRS";"15001";"Dessau-Roßlau, Stadt";"U";2912;1741;17;1724;251;887;125;132;62;117;15;0;18;8;4;6;91;1;7;23;1718;390;928;158;113;71;35;17;;;;;6;;;;;""
"L";;;22;0;"KRS";"15001";"Dessau-Roßlau, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;;""
"Z";"06.09.2026";"19:06:28";79;7;"KRS";"15001";"Dessau-Roßlau, Stadt";"";2912;1741;17;1724;251;887;125;132;62;117;15;0;18;8;4;6;91;1;7;23;1718;390;928;158;113;71;35;17;;;;;6;;;;;""
"Z";"06.09.2026";"18:47:12";126;2;"KRS";"15002";"Halle (Saale), Stadt";"U";458;229;3;226;19;117;8;23;3;31;3;0;6;2;0;0;14;0;0;3;226;28;121;31;13;1;13;6;;;;;;12;;;1;""
"L";;;60;0;"KRS";"15002";"Halle (Saale), Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;;;0;""
"Z";"06.09.2026";"18:47:12";186;2;"KRS";"15002";"Halle (Saale), Stadt";"";458;229;3;226;19;117;8;23;3;31;3;0;6;2;0;0;14;0;0;3;226;28;121;31;13;1;13;6;;;;;;12;;;1;""
"L";;;148;0;"KRS";"15003";"Magdeburg, Landeshauptstadt";"U";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;""
"Z";"06.09.2026";"18:46:26";70;1;"KRS";"15003";"Magdeburg, Landeshauptstadt";"B";0;119;0;119;38;15;10;18;4;18;1;1;2;0;0;2;7;1;2;2;117;40;16;23;13;3;8;;;1;;2;;8;;3;;""
"Z";"06.09.2026";"18:46:26";218;1;"KRS";"15003";"Magdeburg, Landeshauptstadt";"";0;119;0;119;38;15;10;18;4;18;1;1;2;0;0;2;7;1;2;2;117;40;16;23;13;3;8;;;1;;2;;8;;3;;""
"Z";"06.09.2026";"18:52:58";133;62;"KRS";"15081";"Altmarkkreis Salzwedel";"U";13849;9542;90;9452;1595;4447;779;878;239;721;95;14;88;39;34;46;442;12;23;105;9437;2311;4392;1007;679;268;232;;;;109;;;439;;;;""
"L";;;19;0;"KRS";"15081";"Altmarkkreis Salzwedel";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"Z";"06.09.2026";"18:52:58";152;62;"KRS";"15081";"Altmarkkreis Salzwedel";"";13849;9542;90;9452;1595;4447;779;878;239;721;95;14;88;39;34;46;442;12;23;105;9437;2311;4392;1007;679;268;232;;;;109;;;439;;;;""
"Z";"06.09.2026";"19:03:27";182;68;"KRS";"15082";"Anhalt-Bitterfeld";"U";20144;12754;149;12605;2095;6890;860;711;321;522;190;14;138;60;37;70;641;21;35;197;12557;2721;7082;962;742;416;284;175;;;;;;175;;;;""
"Z";"06.09.2026";"18:40:43";22;1;"KRS";"15082";"Anhalt-Bitterfeld";"B";0;205;4;201;39;111;9;18;8;4;4;0;0;1;1;1;5;0;0;3;202;45;113;11;12;4;3;14;;;;;;0;;;;""
"Z";"06.09.2026";"19:03:27";204;69;"KRS";"15082";"Anhalt-Bitterfeld";"";20144;12959;153;12806;2134;7001;869;729;329;526;194;14;138;61;38;71;646;21;35;200;12759;2766;7195;973;754;420;287;189;;;;;;175;;;;""
"Z";"06.09.2026";"19:02:06";199;46;"KRS";"15083";"Börde";"U";12730;8508;85;8423;1326;4598;567;589;192;378;100;4;104;52;34;45;400;9;25;116;8392;1878;4609;645;485;210;143;;;;10;;;394;;;18;""
"Z";"06.09.2026";"18:54:33";45;3;"KRS";"15083";"Börde";"B";0;342;9;333;106;93;24;40;15;23;2;1;7;3;0;2;17;0;0;9;333;154;88;16;35;15;6;;;;0;;;19;;;0;""
"Z";"06.09.2026";"19:02:06";244;49;"KRS";"15083";"Börde";"";12730;8850;94;8756;1432;4691;591;629;207;401;102;5;111;55;34;47;417;9;25;125;8725;2032;4697;661;520;225;149;;;;10;;;413;;;18;""
"Z";"06.09.2026";"18:56:45";201;29;"KRS";"15084";"Burgenlandkreis";"U";8442;5391;45;5346;811;3123;307;303;123;232;65;10;59;21;10;26;230;11;15;42;5349;1116;3149;362;313;168;97;53;44;;;;;31;0;4;12;""
"Z";"06.09.2026";"18:47:19";52;1;"KRS";"15084";"Burgenlandkreis";"B";0;155;1;154;49;60;12;9;3;9;1;0;1;0;0;0;10;0;0;1;154;63;59;11;6;4;4;0;4;;;;;0;0;0;3;""
"Z";"06.09.2026";"18:56:45";253;30;"KRS";"15084";"Burgenlandkreis";"";8442;5546;46;5500;860;3183;319;312;126;241;66;10;60;21;10;26;240;11;15;43;5503;1179;3208;373;319;172;101;53;48;;;;;31;0;4;15;""
"Z";"06.09.2026";"19:07:51";181;25;"KRS";"15085";"Harz";"U";8882;5679;61;5618;926;2969;375;461;84;300;95;7;54;19;12;24;273;10;9;60;5619;1117;2938;436;524;69;117;211;;;;;;204;0;;3;""
"L";;;46;0;"KRS";"15085";"Harz";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;;0;""
"Z";"06.09.2026";"19:07:51";227;25;"KRS";"15085";"Harz";"";8882;5679;61;5618;926;2969;375;461;84;300;95;7;54;19;12;24;273;10;9;60;5619;1117;2938;436;524;69;117;211;;;;;;204;0;;3;""
"Z";"06.09.2026";"19:02:42";102;6;"KRS";"15086";"Jerichower Land";"U";1793;1184;11;1173;225;551;68;93;39;85;22;3;11;12;3;3;51;3;4;19;1165;342;540;95;82;69;37;0;;;;;;0;;;0;""
"L";;;14;0;"KRS";"15086";"Jerichower Land";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;;;0;""
"Z";"06.09.2026";"19:02:42";116;6;"KRS";"15086";"Jerichower Land";"";1793;1184;11;1173;225;551;68;93;39;85;22;3;11;12;3;3;51;3;4;19;1165;342;540;95;82;69;37;0;;;;;;0;;;0;""
"Z";"06.09.2026";"19:07:02";170;64;"KRS";"15087";"Mansfeld-Südharz";"U";25207;15195;172;15023;2343;8657;993;854;311;515;115;14;138;59;28;81;789;95;31;224;14971;2974;8921;1315;713;456;269;;;;;;;82;241;;;""
"Z";"06.09.2026";"19:04:04";31;4;"KRS";"15087";"Mansfeld-Südharz";"B";0;1212;8;1204;294;381;139;134;41;93;10;1;19;8;0;4;63;13;4;14;1198;414;399;174;82;62;46;;;;;;;0;21;;;""
"Z";"06.09.2026";"19:07:02";201;68;"KRS";"15087";"Mansfeld-Südharz";"";25207;16407;180;16227;2637;9038;1132;988;352;608;125;15;157;67;28;85;852;108;35;238;16169;3388;9320;1489;795;518;315;;;;;;;82;262;;;""
"L";;;169;0;"KRS";"15088";"Saalekreis";"U";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;0;;;""
"L";;;38;0;"KRS";"15088";"Saalekreis";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;0;;;""
"L";;;207;0;"KRS";"15088";"Saalekreis";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;0;;;""
"Z";"06.09.2026";"19:03:12";164;19;"KRS";"15089";"Salzlandkreis";"U";11132;6767;89;6678;972;3708;512;437;196;297;54;9;72;27;11;41;319;8;15;111;6656;1312;3831;609;369;346;106;;;;;;;79;4;;;""
"L";;;30;0;"KRS";"15089";"Salzlandkreis";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;0;;;""
"Z";"06.09.2026";"19:03:12";194;19;"KRS";"15089";"Salzlandkreis";"";11132;6767;89;6678;972;3708;512;437;196;297;54;9;72;27;11;41;319;8;15;111;6656;1312;3831;609;369;346;106;;;;;;;79;4;;;""
"Z";"06.09.2026";"19:01:34";161;51;"KRS";"15090";"Stendal";"U";10929;7526;91;7435;1185;3767;527;620;185;464;97;19;57;34;12;23;407;11;27;90;7436;1560;3746;749;563;232;234;;;;;;;352;;;0;""
"Z";"06.09.2026";"19:01:12";35;5;"KRS";"15090";"Stendal";"B";0;583;3;580;153;160;59;88;11;62;8;1;1;1;1;1;34;0;0;4;579;205;160;81;61;9;28;;;;;;;35;;;0;""
"Z";"06.09.2026";"19:01:34";196;56;"KRS";"15090";"Stendal";"";10929;8109;94;8015;1338;3927;586;708;196;526;105;20;58;35;13;24;441;11;27;94;8015;1765;3906;830;624;241;262;;;;;;;387;;;0;""
"Z";"06.09.2026";"19:02:27";156;51;"KRS";"15091";"Wittenberg";"U";13503;8607;75;8532;1594;4485;577;547;186;395;178;19;69;30;14;43;367;12;16;88;8519;2017;4556;722;466;204;147;400;;;;;7;;;;;""
"L";;;27;0;"KRS";"15091";"Wittenberg";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;;""
"Z";"06.09.2026";"19:02:27";183;51;"KRS";"15091";"Wittenberg";"";13503;8607;75;8532;1594;4485;577;547;186;395;178;19;69;30;14;43;367;12;16;88;8519;2017;4556;722;466;204;147;400;;;;;7;;;;;""
"Z";"06.09.2026";"18:52:37";62;33;"WKR";"001";"Salzwedel";"U";7884;5396;46;5350;880;2586;453;427;135;427;50;11;46;22;23;22;248;10;10;57;5339;1292;2540;568;365;140;143;;;;65;;;226;;;;""
"L";;;13;0;"WKR";"001";"Salzwedel";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"Z";"06.09.2026";"18:52:37";75;33;"WKR";"001";"Salzwedel";"";7884;5396;46;5350;880;2586;453;427;135;427;50;11;46;22;23;22;248;10;10;57;5339;1292;2540;568;365;140;143;;;;65;;;226;;;;""
"Z";"06.09.2026";"18:52:58";97;33;"WKR";"002";"Gardelegen-Klötze";"U";6444;4491;48;4443;772;2021;346;487;117;309;50;3;47;17;16;29;212;3;14;51;4440;1098;2015;462;353;140;91;;;;54;;;227;;;;""
"L";;;8;0;"WKR";"002";"Gardelegen-Klötze";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"Z";"06.09.2026";"18:52:58";105;33;"WKR";"002";"Gardelegen-Klötze";"";6444;4491;48;4443;772;2021;346;487;117;309;50;3;47;17;16;29;212;3;14;51;4440;1098;2015;462;353;140;91;;;;54;;;227;;;;""
"Z";"06.09.2026";"19:01:34";73;31;"WKR";"003";"Havelberg-Osterburg";"U";6894;4668;63;4605;663;2418;325;380;112;278;67;9;30;23;8;12;258;8;14;60;4608;882;2402;520;303;130;143;;;;;;;228;;;;""
"Z";"06.09.2026";"19:01:12";23;5;"WKR";"003";"Havelberg-Osterburg";"B";0;583;3;580;153;160;59;88;11;62;8;1;1;1;1;1;34;0;0;4;579;205;160;81;61;9;28;;;;;;;35;;;;""
"Z";"06.09.2026";"19:01:34";96;36;"WKR";"003";"Havelberg-Osterburg";"";6894;5251;66;5185;816;2578;384;468;123;340;75;10;31;24;9;13;292;8;14;64;5187;1087;2562;601;364;139;171;;;;;;;263;;;;""
"Z";"06.09.2026";"18:59:27";57;20;"WKR";"004";"Stendal";"U";4035;2858;28;2830;522;1349;202;240;73;186;30;10;27;11;4;11;149;3;13;30;2828;678;1344;229;260;102;91;;;;;;;124;;;;""
