list_pos,name,wkr_direct,source
37,Ilka Reckmann,33,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
38,Daniel Schlotmann-Jeschke,20,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
39,Patrick Schubert,25,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
40,Claudia Freia Schmidt,38,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
41,Franziska Beyer,,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
42,Sebastian Jörg Weise,,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
43,Martin Steffen,,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
44,Michel Kleinhans,,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
45,Michél Odenthal,,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
46,Frank Stiele,,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
47,Jörg Anschütz,,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
48,Britta Goehring,,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
49,Winfried Pethe,,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
50,Anna Kreye,,https://www.cdulsa.de/sites/www.cdulsa.de/files/downloads/platzierungen_landesliste_zur_landtagswahl_2026_in_sachsen-anhalt_neu.pdf
