"Ergebnisart";"Datum";"Uhrzeit";"Soll.Wahlbezirke";"Ist.Wahlbezirke";"Satzart";"Schlüsselnummer";"Name";"Wahllokal";"A.Wahlberechtigte";"B.Wähler";"E.Ungültige.Zweitstimmen";"F.Gültige.Zweitstimmen";"F01.CDU";"F02.AfD";"F03.Die Linke";"F04.SPD";"F05.FDP";"F06.GRÜNE";"F07.FREIE WÄHLER";"F08.dieBasis";"F09.Tierschutzpartei";"F10.Gartenpartei";"F11.Die PARTEI";"F12.TIERSCHUTZALLIANZ";"F15.BSW";"F19.PdF";"F20.Volt";"C.Ungültige.Erststimmen";"D.Gültige.Erststimmen";"D01.CDU";"D02.AfD";"D03.Die Linke";"D04.SPD";"D05.FDP";"D06.GRÜNE";"D07.FREIE WÄHLER";"D09.Tierschutzpartei";"D10.Gartenpartei";"D11.Die PARTEI";"D12.TIERSCHUTZALLIANZ";"D13.HEIMAT";"D15.BSW";"D19.PdF";"D20.Volt";"D21.EB";"Gewählt im Wahlkreis"
"Z";"06.09.2026";"20:31:40";35;25;"WKR";"012";"Magdeburg III";"U";29084;14601;128;14473;1948;6505;1263;1353;363;1636;81;31;167;219;41;88;693;19;66;119;14482;3832;6554;1651;775;312;414;;;329;;;;615;;;;""
"Z";"06.09.2026";"20:22:39";14;9;"WKR";"012";"Magdeburg III";"B";0;6937;36;6901;1531;1233;790;1120;277;1225;49;6;78;73;18;44;404;14;39;46;6891;2965;1205;1112;517;246;323;;;158;;;;365;;;;""
"Z";"06.09.2026";"20:31:40";49;34;"WKR";"012";"Magdeburg III";"";29084;21538;164;21374;3479;7738;2053;2473;640;2861;130;37;245;292;59;132;1097;33;105;165;21373;6797;7759;2763;1292;558;737;;;487;;;;980;;;;""
"Z";"06.09.2026";"20:31:56";40;34;"WKR";"013";"Magdeburg IV";"U";39300;19902;190;19712;2548;8673;1768;1862;492;2487;99;23;202;288;59;128;978;25;80;201;19701;4661;8823;2253;1386;494;776;;;501;;;;807;;;;""
"Z";"06.09.2026";"20:15:02";19;18;"WKR";"013";"Magdeburg IV";"B";0;12928;47;12881;2738;2619;1583;1930;492;2148;71;18;120;190;34;81;760;31;66;77;12851;4685;2554;1818;1274;522;887;;;403;;;;708;;;;""
"Z";"06.09.2026";"20:31:56";59;52;"WKR";"013";"Magdeburg IV";"";39300;32830;237;32593;5286;11292;3351;3792;984;4635;170;41;322;478;93;209;1738;56;146;278;32552;9346;11377;4071;2660;1016;1663;;;904;;;;1515;;;;""
"V";"06.09.2026";"20:47:53";37;37;"WKR";"014";"Halberstadt";"U";38748;20700;256;20444;2847;10717;1661;1624;318;1222;370;27;186;95;30;116;1164;29;38;252;20448;3862;10772;1976;1380;260;643;670;;;;;;885;;;;""
"Z";"06.09.2026";"20:34:30";11;8;"WKR";"014";"Halberstadt";"B";0;5699;53;5646;1556;1369;614;769;127;544;109;6;66;30;12;33;389;6;16;66;5633;1988;1351;785;465;109;378;219;;;;;;338;;;;""
"Z";"06.09.2026";"20:47:53";48;45;"WKR";"014";"Halberstadt";"";38748;26399;309;26090;4403;12086;2275;2393;445;1766;479;33;252;125;42;149;1553;35;54;318;26081;5850;12123;2761;1845;369;1021;889;;;;;;1223;;;;""
"Z";"06.09.2026";"20:15:09";51;46;"WKR";"015";"Blankenburg";"U";33077;20350;230;20120;3014;9926;1303;2099;359;1317;356;46;242;80;74;132;1069;31;72;259;20091;3646;9826;1681;2340;418;531;763;;;;;;886;;;;""
"Z";"06.09.2026";"20:43:45";8;3;"WKR";"015";"Blankenburg";"B";0;2616;41;2575;648;673;253;436;68;227;53;1;38;13;7;17;135;1;5;45;2571;749;639;314;446;67;120;96;;;;;;140;;;;""
"Z";"06.09.2026";"20:43:45";59;49;"WKR";"015";"Blankenburg";"";33077;22966;271;22695;3662;10599;1556;2535;427;1544;409;47;280;93;81;149;1204;32;77;304;22662;4395;10465;1995;2786;485;651;859;;;;;;1026;;;;""
"Z";"06.09.2026";"20:23:05";41;37;"WKR";"016";"Wernigerode";"U";35189;19435;217;19218;2953;9111;1346;2261;352;1391;275;27;187;79;47;96;1023;22;48;233;19202;3604;8801;1381;3233;308;404;598;;;;;;873;;;;""
"Z";"06.09.2026";"20:40:08";10;4;"WKR";"016";"Wernigerode";"B";0;3952;14;3938;949;916;363;731;107;374;80;4;52;18;11;29;286;8;10;26;3926;1067;816;337;1078;75;133;140;;;;;;280;;;;""
"Z";"06.09.2026";"20:40:08";51;41;"WKR";"016";"Wernigerode";"";35189;23387;231;23156;3902;10027;1709;2992;459;1765;355;31;239;97;58;125;1309;30;58;259;23128;4671;9617;1718;4311;383;537;738;;;;;;1153;;;;""
"Z";"06.09.2026";"20:46:53";44;37;"WKR";"017";"Quedlinburg";"U";37559;20649;278;20371;2868;11113;1398;1400;419;1376;288;68;207;68;75;111;924;28;28;309;20340;3655;11066;1759;1138;438;832;461;;;;;;794;;;197;""
"Z";"06.09.2026";"20:41:09";16;8;"WKR";"017";"Quedlinburg";"B";0;3478;34;3444;930;951;355;422;105;252;72;6;51;24;13;22;230;4;7;40;3438;1083;931;446;330;96;165;135;;;;;;215;;;37;""
"Z";"06.09.2026";"20:46:53";60;45;"WKR";"017";"Quedlinburg";"";37559;24127;312;23815;3798;12064;1753;1822;524;1628;360;74;258;92;88;133;1154;32;35;349;23778;4738;11997;2205;1468;534;997;596;;;;;;1009;;;234;""
"Z";"06.09.2026";"20:37:45";49;40;"WKR";"018";"Aschersleben";"U";28676;16510;212;16298;2388;9029;1128;972;283;742;105;25;186;77;33;97;1085;86;62;215;16295;2667;8920;1318;1048;352;351;;;;;;;1364;275;;;""
"L";;;6;0;"WKR";"018";"Aschersleben";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;0;;;""
"Z";"06.09.2026";"20:37:45";55;40;"WKR";"018";"Aschersleben";"";28676;16510;212;16298;2388;9029;1128;972;283;742;105;25;186;77;33;97;1085;86;62;215;16295;2667;8920;1318;1048;352;351;;;;;;;1364;275;;;""
"Z";"06.09.2026";"20:33:50";31;26;"WKR";"019";"Staßfurt";"U";25026;15286;156;15130;2182;9093;963;794;253;495;127;12;182;76;27;91;777;21;37;180;15106;3404;9026;933;561;332;175;;;;;;;675;;;;""
"Z";"06.09.2026";"20:17:36";9;1;"WKR";"019";"Staßfurt";"B";0;464;0;464;136;129;41;62;17;30;27;0;3;3;2;5;8;0;1;0;464;216;112;44;24;19;14;;;;;;;35;;;;""
"Z";"06.09.2026";"20:33:50";40;27;"WKR";"019";"Staßfurt";"";25026;15750;156;15594;2318;9222;1004;856;270;525;154;12;185;79;29;96;785;21;38;180;15570;3620;9138;977;585;351;189;;;;;;;710;;;;""
