Ergebnisart;Datum;leer;leer;leer;Satzart;Schlüsselnummer;Name;A - Wahlberechtigte;B - Wähler;E - Ungültige Zweitstimmen;F - Gültige Zweitstimmen;F01 - CDU ;F02 - AfD ;F03 - DIE LINKE ;F04 - SPD ;F05 - GRÜNE ;F06 - FDP ;F07 - FREIE WÄHLER ;F08 - NPD ;F09 - Tierschutzpartei ;F10 - Tierschutzallianz ;F11 - LKR ;F12 - Die PARTEI ;F13 - Gartenpartei ;F14 - FBM ;F15 - TIERSCHUTZ hier! ;F16 - dieBasis ;F19 - Klimaliste ST ;F21 - ÖDP ;F22 - Die Humanisten ;F23 - Gesundheitsforschung ;F24 - PIRATEN ;F25 - WiR2020 ;C - Ungültige Erststimmen;D - Gültige Erststimmen;D01 - CDU ;D02 - AfD ;D03 - DIE LINKE ;D04 - SPD ;D05 - GRÜNE ;D06 - FDP ;D07 - FREIE WÄHLER ;D08 - NPD ;D09 - Tierschutzpartei ;D10 - Tierschutzallianz ;D12 - Die PARTEI ;D13 - Gartenpartei ;D14 - FBM ;D16 - dieBasis ;D21 - ÖDP ;D26 - Andere KWV ;D27 - Andere KWV ;D28 - Andere KWV ;
E;06.06.2021;;;;GEM;15082256;Gemeinde Osternienburger Land;7120;4301;112;4189;1697;1043;530;242;115;244;71;24;53;19;0;19;29;5;17;39;3;2;3;17;6;11;84;4217;1840;1068;583;243;114;219;150;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15082301;Stadt Raguhn-Jeßnitz;7701;4950;81;4869;1787;1412;479;297;142;280;118;32;83;18;2;18;50;2;41;64;1;1;6;14;12;10;93;4857;1658;1542;530;458;142;279;248;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15082340;Stadt Sandersdorf-Brehna;12298;7886;127;7759;3151;1884;741;522;250;483;215;22;140;26;1;42;53;8;52;97;3;1;2;28;28;10;166;7720;2912;1993;897;731;244;490;453;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15082377;Stadt Südliches Anhalt;11079;7020;148;6872;2767;1730;887;365;168;391;197;34;74;21;1;28;39;3;33;66;3;5;2;24;20;14;132;6888;2872;1750;1219;317;148;299;283;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15082430;Stadt Zerbst/Anhalt;17494;10531;204;10327;3888;2370;1094;830;435;597;536;16;113;35;5;37;72;14;66;120;7;4;6;29;35;18;208;10323;3316;2390;1187;707;473;662;1588;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15082440;Stadt Zörbig;7733;5127;100;5027;2060;1167;372;299;171;296;350;13;65;18;0;25;46;8;28;67;3;2;6;13;12;6;105;5022;1755;1205;388;297;147;271;959;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15083020;Gemeinde Altenhausen;908;616;7;609;237;127;77;55;20;35;14;3;3;2;0;3;8;0;3;19;0;0;0;1;2;0;5;611;231;133;86;55;23;38;20;;;;;;;25;;;;;
E;06.06.2021;;;;GEM;15083025;Gemeinde Am Großen Bruch;1726;1091;8;1083;428;274;89;118;23;74;31;3;9;1;0;4;8;0;3;8;0;1;1;5;0;3;9;1082;345;277;83;232;19;85;41;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15083030;Gemeinde Angern;1625;1165;10;1155;417;286;144;87;31;67;44;2;13;10;1;7;8;0;8;19;0;0;2;5;4;0;11;1154;437;278;145;104;34;60;50;;;22;;;;19;;5;;;
E;06.06.2021;;;;GEM;15083035;Gemeinde Ausleben;1340;815;9;806;320;205;63;72;22;43;17;5;9;1;0;7;16;3;3;15;0;1;1;1;2;0;14;801;269;225;64;138;23;45;37;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15083040;Gemeinde Barleben;7492;5366;47;5319;1968;1047;587;404;314;394;186;11;71;56;4;27;62;1;29;105;2;3;12;22;13;1;63;5303;2165;976;614;447;315;309;223;;;134;;;;102;;18;;;
E;06.06.2021;;;;GEM;15083060;Gemeinde Beendorf;666;406;11;395;171;47;34;52;16;35;10;1;5;1;0;1;4;0;3;12;0;0;0;3;0;0;10;396;175;55;38;60;13;29;15;;;;;;;11;;;;;
E;06.06.2021;;;;GEM;15083115;Gemeinde Bülstringen;717;525;7;518;233;109;38;23;8;36;33;7;10;3;1;0;5;0;0;1;0;0;2;5;1;3;8;517;236;118;43;36;11;27;37;;;;;;;9;;;;;
E;06.06.2021;;;;GEM;15083120;Gemeinde Burgstall;1268;851;10;841;302;245;86;54;19;57;25;3;13;6;0;4;2;3;4;8;0;0;0;5;4;1;13;838;318;235;86;61;21;55;32;;;16;;;;10;;4;;;
E;06.06.2021;;;;GEM;15083125;Gemeinde Calvörde;2848;1802;28;1774;660;403;171;137;62;123;91;3;16;11;0;18;19;0;9;37;1;0;0;6;5;2;31;1771;623;432;193;166;65;109;140;;;;;;;43;;;;;
E;06.06.2021;;;;GEM;15083130;Gemeinde Colbitz;2752;1948;31;1917;726;502;208;113;94;128;31;10;26;13;0;8;8;0;7;19;0;1;4;8;8;3;28;1920;774;475;226;139;81;101;51;;;36;;;;24;;13;;;
E;06.06.2021;;;;GEM;15083190;Gemeinde Eilsleben;3107;1933;27;1906;727;366;208;219;71;139;52;11;16;9;1;8;23;1;10;16;2;2;2;11;5;7;29;1904;671;373;225;284;75;160;85;;;;;;;31;;;;;
E;06.06.2021;;;;GEM;15083205;Gemeinde Erxleben;2308;1385;30;1355;558;295;149;82;50;62;36;4;24;7;0;8;8;0;10;49;1;0;0;3;8;1;30;1355;543;324;158;109;44;64;42;;;;;;;71;;;;;
E;06.06.2021;;;;GEM;15083230;Gemeinde Flechtingen;2277;1414;11;1403;607;257;130;131;70;77;41;5;15;4;0;5;5;1;1;42;0;0;0;4;5;3;9;1405;636;277;125;132;71;66;59;;;;;;;39;;;;;
E;06.06.2021;;;;GEM;15083245;Stadt Gröningen;2968;1825;22;1803;664;421;177;189;47;112;51;1;28;12;0;6;16;3;11;42;1;0;2;7;5;8;30;1795;588;440;191;293;46;122;115;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15083270;Stadt Haldensleben;15511;8999;113;8886;3332;2054;926;762;438;492;215;32;135;40;5;67;55;3;70;152;4;11;8;36;37;12;124;8875;3188;2300;1083;955;457;401;330;;;;;;;161;;;;;
E;06.06.2021;;;;GEM;15083275;Gemeinde Harbke;1149;711;13;698;216;155;92;95;26;36;15;2;15;4;0;7;15;0;6;5;0;0;0;2;5;2;21;690;192;154;104;150;19;31;30;;;;;;;10;;;;;
E;06.06.2021;;;;GEM;15083298;Gemeinde Hohe Börde;15325;9947;121;9826;3584;2066;909;769;456;803;464;28;156;102;7;49;97;3;52;178;3;14;10;31;38;7;119;9828;4158;1810;870;736;364;627;854;;;213;;;;176;;20;;;
E;06.06.2021;;;;GEM;15083320;Gemeinde Hötensleben;2928;1745;17;1728;702;354;146;200;51;122;52;5;27;5;0;6;15;1;9;15;0;1;2;8;5;2;22;1723;653;387;157;258;49;128;70;;;;;;;21;;;;;
E;06.06.2021;;;;GEM;15083323;Gemeinde Ingersleben;1112;733;14;719;263;185;62;63;31;45;18;2;13;1;1;7;3;0;2;12;0;1;0;5;3;2;13;720;274;191;60;70;28;41;34;;;;;;;22;;;;;
