Ergebnisart;Datum;leer;leer;leer;Satzart;Schlüsselnummer;Name;A - Wahlberechtigte;B - Wähler;E - Ungültige Zweitstimmen;F - Gültige Zweitstimmen;F01 - CDU ;F02 - AfD ;F03 - DIE LINKE ;F04 - SPD ;F05 - GRÜNE ;F06 - FDP ;F07 - FREIE WÄHLER ;F08 - NPD ;F09 - Tierschutzpartei ;F10 - Tierschutzallianz ;F11 - LKR ;F12 - Die PARTEI ;F13 - Gartenpartei ;F14 - FBM ;F15 - TIERSCHUTZ hier! ;F16 - dieBasis ;F19 - Klimaliste ST ;F21 - ÖDP ;F22 - Die Humanisten ;F23 - Gesundheitsforschung ;F24 - PIRATEN ;F25 - WiR2020 ;C - Ungültige Erststimmen;D - Gültige Erststimmen;D01 - CDU ;D02 - AfD ;D03 - DIE LINKE ;D04 - SPD ;D05 - GRÜNE ;D06 - FDP ;D07 - FREIE WÄHLER ;D08 - NPD ;D09 - Tierschutzpartei ;D10 - Tierschutzallianz ;D12 - Die PARTEI ;D13 - Gartenpartei ;D14 - FBM ;D16 - dieBasis ;D21 - ÖDP ;D26 - Andere KWV ;D27 - Andere KWV ;D28 - Andere KWV ;
E;06.06.2021;;;;GEM;15084470;Stadt Stößen;741;441;5;436;157;114;27;34;20;39;7;0;3;0;1;11;1;0;2;14;1;0;0;3;1;1;4;437;174;108;37;33;9;47;;;;;18;;;;;11;;;
E;06.06.2021;;;;GEM;15084490;Stadt Teuchern;6679;3728;43;3685;1269;1008;325;420;62;201;70;23;51;17;2;34;20;3;29;112;0;2;0;16;14;7;59;3669;809;1012;256;1106;45;162;114;;;;75;;;;;90;;;
E;06.06.2021;;;;GEM;15084550;Stadt Weißenfels;29908;16011;161;15850;6009;3875;1528;1478;551;940;396;50;202;35;6;186;103;7;82;222;3;9;12;66;61;29;177;15834;4528;3800;1286;3391;356;890;1043;;;;373;;;;;167;;;
E;06.06.2021;;;;GEM;15084560;Gemeinde Wethau;745;489;0;489;209;147;39;28;3;24;15;0;3;0;0;3;1;0;2;8;1;0;2;2;2;0;2;487;218;146;37;26;6;21;;;;;9;;;;;24;;;
E;06.06.2021;;;;GEM;15084565;Gemeinde Wetterzeube;1455;946;12;934;302;285;105;53;34;65;28;3;14;0;0;7;13;2;3;8;0;0;1;4;5;2;13;933;202;291;160;41;29;63;110;;;;;;;;;3;32;2;
E;06.06.2021;;;;GEM;15084590;Stadt Zeitz;22835;11457;131;11326;4154;3003;1225;733;381;655;462;66;114;39;3;98;91;7;68;121;5;6;11;50;25;9;145;11312;2909;3066;1646;722;435;684;1590;;;;;;;;;17;127;116;
E;06.06.2021;;;;GEM;15085040;Stadt Ballenstedt;7540;4459;66;4393;1724;854;471;429;198;296;132;15;64;13;0;35;28;1;33;59;1;1;7;15;12;5;65;4394;1562;891;541;517;224;359;300;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15085055;Stadt Blankenburg (Harz);16819;9847;119;9728;3681;2063;1023;970;410;567;315;17;130;36;6;82;57;8;71;184;5;9;14;40;25;15;156;9691;3319;2335;1160;1139;445;626;667;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15085090;Gemeinde Ditfurt;1298;767;11;756;269;166;75;44;35;85;23;2;13;1;2;5;10;1;18;2;0;0;0;3;2;0;12;755;242;178;91;51;45;101;47;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15085110;Stadt Falkenstein/Harz;4508;2812;28;2784;1044;630;343;198;120;138;187;5;28;12;1;9;8;4;12;32;0;0;1;4;7;1;32;2780;913;608;346;217;104;119;460;;;;;;13;;;;;;
E;06.06.2021;;;;GEM;15085125;Gemeinde Groß Quenstedt;761;441;10;431;178;86;44;35;5;40;22;1;2;0;0;3;2;0;3;6;0;1;1;2;0;0;6;435;155;94;74;30;5;38;28;;;;;;;8;;3;;;
E;06.06.2021;;;;GEM;15085135;Stadt Halberstadt;32180;17739;207;17532;6478;3509;2400;1478;895;1099;501;31;218;52;3;86;121;2;88;362;12;18;14;66;69;30;227;17512;4782;3592;4245;1550;642;1306;890;;;;;;;348;;157;;;
E;06.06.2021;;;;GEM;15085140;Gemeinde Harsleben;1817;1099;10;1089;409;236;116;98;46;79;33;0;12;3;0;7;10;0;11;22;0;2;0;1;2;2;14;1085;344;266;141;139;51;75;69;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15085145;Stadt Harzgerode;6548;3951;46;3905;1721;777;420;359;133;194;107;12;35;8;0;12;12;6;17;60;2;4;3;9;11;3;55;3896;1557;821;453;516;95;217;172;;;;;;;65;;;;;
E;06.06.2021;;;;GEM;15085160;Gemeinde Hedersleben;1133;633;9;624;231;186;58;49;18;41;9;2;9;1;0;2;1;1;5;4;0;0;1;5;1;0;10;623;182;183;111;51;11;62;23;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15085185;Gemeinde Huy;5992;3599;56;3543;1458;781;379;282;130;197;67;8;61;15;3;16;38;1;17;59;2;4;1;11;9;4;59;3540;1624;756;495;232;80;171;87;;;;;;;57;;38;;;
E;06.06.2021;;;;GEM;15085190;Stadt Ilsenburg (Harz);8031;5155;51;5104;2002;708;459;853;282;308;143;7;65;19;1;40;28;5;28;108;7;3;5;15;15;3;54;5101;1449;726;425;1649;284;318;250;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15085227;Gemeinde Nordharz;6416;4151;35;4116;1657;758;367;537;167;275;119;10;49;23;1;13;20;3;17;67;2;1;4;9;13;4;42;4109;1445;771;375;859;171;281;207;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15085228;Stadt Oberharz am Brocken;8909;5455;73;5382;2075;1181;493;600;192;307;185;20;64;22;2;23;37;7;41;89;0;2;1;22;15;4;80;5375;1788;1230;508;987;135;344;307;;;;;;;76;;;;;
E;06.06.2021;;;;GEM;15085230;Stadt Osterwieck;9432;5662;60;5602;2201;1080;579;589;294;329;162;9;80;23;1;24;40;6;48;80;4;3;5;21;17;7;77;5585;2016;1104;732;752;329;334;318;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15085235;Gemeinde Welterbestadt Quedlinburg;20335;11230;144;11086;3997;1909;1266;1113;897;808;335;22;152;37;0;84;82;3;57;209;4;11;11;36;41;12;169;11061;3428;1969;1408;1342;1055;1125;734;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15085285;Stadt Schwanebeck;2004;1104;18;1086;354;349;127;76;31;48;33;3;14;1;0;6;5;0;6;26;0;0;0;1;2;4;19;1085;290;364;216;76;23;54;35;;;;;;;22;;5;;;
E;06.06.2021;;;;GEM;15085287;Gemeinde Selke-Aue;1178;733;6;727;280;169;85;57;26;59;23;4;4;1;0;4;6;0;3;1;0;0;0;2;1;2;8;725;259;169;116;65;26;54;36;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15085330;Stadt Thale;14833;8467;94;8373;3394;1792;815;608;326;520;400;15;106;21;4;43;57;8;45;139;1;9;7;29;26;8;109;8358;3005;1975;897;708;380;593;800;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15085365;Stadt Wegeleben;2127;1127;29;1098;400;227;146;91;46;72;43;2;15;4;0;6;8;0;8;17;0;1;2;5;3;2;24;1103;379;242;183;107;51;74;67;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15085370;Stadt Wernigerode;27236;16669;208;16461;6243;2607;1654;2260;1141;1063;389;46;235;55;3;106;102;8;106;306;14;6;23;34;37;23;221;16448;4473;2679;1793;4763;737;1051;645;;;;;;;307;;;;;
E;06.06.2021;;;;GEM;15086005;Gemeinde Biederitz;7076;4928;59;4869;1902;760;527;474;338;383;127;6;95;29;2;29;39;1;26;71;5;6;7;16;15;11;83;4845;1703;787;545;752;301;429;;;199;;;;;129;;;;;
E;06.06.2021;;;;GEM;15086015;Stadt Burg;18584;10501;204;10297;4008;2383;1088;927;397;519;204;24;240;49;3;71;80;11;68;107;1;6;9;48;40;14;227;10274;4065;2302;1186;1189;378;586;;;408;;;;;160;;;;;
E;06.06.2021;;;;GEM;15086035;Gemeinde Elbe-Parey;5492;3391;79;3312;1331;766;343;313;90;151;114;19;41;8;4;17;17;3;18;52;0;2;0;9;12;2;95;3296;1084;836;382;437;111;158;212;;;;;;;52;;24;;;
E;06.06.2021;;;;GEM;15086040;Stadt Genthin;11553;6369;118;6251;2390;1362;657;670;256;306;208;13;95;26;3;24;46;5;47;79;1;3;10;20;18;12;154;6215;1853;1425;639;1113;310;318;357;;;;;;;65;;135;;;
E;06.06.2021;;;;GEM;15086055;Stadt Gommern;8784;5798;81;5717;2267;1115;584;538;249;373;182;12;89;18;4;30;46;2;33;56;2;2;8;25;13;69;101;5697;2141;1240;702;539;293;403;379;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15086080;Stadt Jerichow;5784;3603;72;3531;1404;891;334;306;130;162;127;11;39;7;1;16;14;1;16;34;3;2;3;13;9;8;86;3517;1172;967;370;436;130;167;230;;;;;;;23;;22;;;
E;06.06.2021;;;;GEM;15086140;Stadt Möckern;10631;6887;140;6747;2707;1472;683;596;260;395;176;24;114;31;3;31;59;3;26;103;0;5;6;11;25;17;154;6733;2647;1491;713;700;312;492;;;217;;;;;161;;;;;
E;06.06.2021;;;;GEM;15086145;Gemeinde Möser;6867;4962;70;4892;2053;849;507;428;261;360;92;5;117;20;1;28;27;4;25;63;3;5;1;14;9;20;47;4915;1880;934;518;668;228;363;;;232;;;;;92;;;;;
E;06.06.2021;;;;GEM;15087010;Gemeinde Ahlsdorf;1337;817;8;809;280;228;82;65;23;62;16;2;8;1;0;6;1;11;7;11;0;0;0;2;3;1;11;806;238;245;109;71;25;81;;;;;;;37;;;;;;
E;06.06.2021;;;;GEM;15087015;Stadt Allstedt;6471;3964;79;3885;1410;1028;424;299;103;266;71;16;37;34;2;22;30;20;18;54;1;5;5;19;15;6;95;3869;1222;1136;522;385;80;379;;;;145;;;;;;;;;
E;06.06.2021;;;;GEM;15087031;Stadt Arnstein;5555;3520;70;3450;1265;901;344;322;80;187;107;10;39;7;2;8;22;69;23;44;0;1;1;11;2;5;83;3437;1123;917;382;295;82;189;285;;;;;;164;;;;;;
E;06.06.2021;;;;GEM;15087045;Gemeinde Benndorf;1700;939;26;913;357;217;108;98;13;36;14;1;8;2;0;8;12;8;11;12;0;0;2;3;3;0;27;912;307;238;153;110;16;54;;;;;;;34;;;;;;
E;06.06.2021;;;;GEM;15087055;Gemeinde Berga;1365;838;12;826;323;205;87;82;14;45;15;5;8;1;0;2;7;3;7;12;1;0;2;2;4;1;16;822;243;227;200;65;14;55;;;;;;;18;;;;;;
E;06.06.2021;;;;GEM;15087070;Gemeinde Blankenheim;998;653;7;646;228;170;67;44;14;43;13;2;8;1;0;4;5;28;5;6;0;1;1;1;5;0;9;644;180;177;77;54;16;42;;;;;;;98;;;;;;
E;06.06.2021;;;;GEM;15087075;Gemeinde Bornstedt;688;455;13;442;145;149;36;35;14;13;8;5;6;1;0;5;3;7;4;7;0;0;0;2;2;0;14;441;135;155;46;42;12;28;;;;;;;23;;;;;;
E;06.06.2021;;;;GEM;15087101;Gemeinde Brücken-Hackpfüffel;835;617;16;601;244;152;45;49;11;35;10;2;14;3;0;1;4;8;6;12;0;0;1;2;1;1;15;602;203;177;75;56;14;58;;;;;;;19;;;;;;
E;06.06.2021;;;;GEM;15087125;Gemeinde Edersleben;819;548;7;541;219;157;48;26;18;23;4;3;7;7;0;1;4;8;3;11;0;0;0;1;0;1;7;541;201;179;55;31;20;37;;;;;;;18;;;;;;
E;06.06.2021;;;;GEM;15087130;Lutherstadt Eisleben;18815;10022;199;9823;3690;2513;1138;690;282;670;102;17;145;39;5;89;55;122;78;107;1;4;4;35;27;10;219;9803;3551;2642;1514;686;324;737;;;;;;;349;;;;;;
E;06.06.2021;;;;GEM;15087165;Stadt Gerbstedt;5939;3315;48;3267;1224;959;322;217;109;177;33;20;36;10;1;25;15;20;27;44;5;0;4;6;10;3;66;3249;1048;1042;490;271;92;220;;;;;;;86;;;;;;
E;06.06.2021;;;;GEM;15087205;Gemeinde Helbra;3283;1882;20;1862;658;524;203;187;36;95;22;2;27;4;0;14;12;27;11;23;0;0;4;6;6;1;29;1853;550;560;298;215;37;125;;;;;;;68;;;;;;
E;06.06.2021;;;;GEM;15087210;Gemeinde Hergisdorf;1353;807;13;794;274;226;86;67;17;58;12;6;10;2;0;4;8;10;3;8;0;0;0;2;1;0;15;792;241;241;135;81;14;61;;;;;;;19;;;;;;
E;06.06.2021;;;;GEM;15087220;Stadt Hettstedt;11470;6175;125;6050;2135;1599;865;542;110;292;72;23;73;24;1;36;23;101;45;56;4;3;8;22;11;5;131;6044;1646;1774;1290;656;112;375;;;;;;;191;;;;;;
E;06.06.2021;;;;GEM;15087250;Stadt Kelbra (Kyffhäuser);2841;1700;35;1665;693;357;198;130;56;89;26;10;15;6;0;5;9;17;19;15;1;0;0;7;7;5;46;1654;605;397;296;133;55;113;;;;;;;55;;;;;;
E;06.06.2021;;;;GEM;15087260;Gemeinde Klostermansfeld;1967;1155;45;1110;449;262;102;89;28;77;15;2;14;7;0;5;6;18;9;18;1;3;0;4;0;1;43;1112;403;288;155;99;33;93;;;;;;;41;;;;;;
E;06.06.2021;;;;GEM;15087275;Stadt Mansfeld;7375;4586;98;4488;1671;1082;495;378;103;292;90;15;42;9;1;41;24;133;21;60;0;2;1;15;10;3;128;4458;1574;1196;611;367;118;345;;;;;;;247;;;;;;
E;06.06.2021;;;;GEM;15087370;Stadt Sangerhausen;21884;12929;227;12702;4930;3135;1424;986;384;722;179;25;146;35;7;108;89;146;75;172;9;5;7;66;38;14;267;12662;4436;3383;1736;1150;402;1009;;;;;;;546;;;;;;
E;06.06.2021;;;;GEM;15087386;Gemeinde Seegebiet Mansfelder Land;7636;4760;120;4640;1682;1288;473;299;130;311;90;19;61;18;2;33;18;78;33;54;1;1;2;23;19;5;121;4639;1451;1326;552;295;141;341;166;;;;;;367;;;;;;
E;06.06.2021;;;;GEM;15087412;Gemeinde Südharz;7784;4854;83;4771;1807;1186;531;369;183;325;58;16;55;13;1;20;27;31;29;74;2;1;3;22;9;9;95;4759;1644;1297;660;405;189;429;;;;;;;135;;;;;;
E;06.06.2021;;;;GEM;15087440;Gemeinde Wallhausen;2090;1309;19;1290;529;326;103;95;44;83;16;4;17;0;1;7;9;16;10;16;0;0;0;3;8;3;19;1290;481;363;149;116;42;87;;;;;;;52;;;;;;
E;06.06.2021;;;;GEM;15087470;Gemeinde Wimmelburg;981;585;9;576;217;130;56;64;13;31;11;3;7;0;0;7;3;9;9;10;0;1;0;2;2;1;13;572;170;147;98;70;12;50;;;;;;;25;;;;;;
E;06.06.2021;;;;GEM;15088020;Solestadt Bad Dürrenberg;9466;5498;85;5413;2062;1334;507;402;197;377;128;24;76;28;3;34;30;4;37;108;2;3;8;21;20;8;87;5411;1810;1424;556;445;207;701;268;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15088025;Goethestadt Bad Lauchstädt;7308;4809;88;4721;1866;1236;386;306;187;308;107;12;57;55;3;21;24;8;26;70;1;1;8;17;16;6;105;4704;1764;1337;513;369;145;370;;;;206;;;;;;;;;
E;06.06.2021;;;;GEM;15088030;Gemeinde Barnstädt;830;554;5;549;259;114;58;42;10;33;4;3;4;3;0;4;2;2;1;7;0;0;0;1;2;0;4;550;224;130;96;40;5;41;;;;14;;;;;;;;;
E;06.06.2021;;;;GEM;15088065;Stadt Braunsbedra;8860;5316;96;5220;2061;1310;497;392;146;315;97;19;67;16;2;30;45;9;39;107;4;6;10;19;21;8;124;5192;2486;1464;622;465;155;;;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15088100;Gemeinde Farnstädt;1244;788;2;786;297;223;85;46;12;51;13;4;6;13;1;6;6;1;4;12;0;0;0;5;1;0;3;785;276;244;136;40;7;52;;;;30;;;;;;;;;
E;06.06.2021;;;;GEM;15088150;Gemeinde Kabelsketal;7262;4529;64;4465;1673;954;427;339;231;349;153;17;77;15;3;35;32;3;36;73;2;4;1;19;11;11;61;4468;1563;1095;443;370;232;363;402;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15088195;Stadt Landsberg;12484;8260;124;8136;3108;1726;768;559;388;654;346;30;108;35;4;42;57;8;64;138;3;6;11;36;29;16;150;8110;2733;1839;745;798;402;681;912;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15088205;Stadt Leuna;11515;7495;109;7386;2780;1813;700;560;282;526;184;26;94;23;6;45;46;7;38;142;4;5;7;42;34;22;136;7359;2661;2053;863;740;321;398;323;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15088216;Stadt Wettin-Löbejün;8195;5280;57;5223;1965;1241;475;414;252;415;136;19;63;17;3;24;25;6;34;72;4;3;5;26;15;9;62;5218;1725;1305;473;526;326;597;233;;;;;;33;;;;;;
E;06.06.2021;;;;GEM;15088220;Stadt Merseburg;26023;14720;213;14507;5232;3540;1506;1166;689;970;216;48;218;49;3;122;79;17;114;342;9;9;25;73;69;11;359;14361;5673;4175;2103;1613;797;;;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15088235;Stadt Mücheln (Geiseltal);7121;4587;70;4517;1751;1185;423;322;126;290;107;8;46;51;3;21;27;9;31;74;2;2;5;13;14;7;92;4495;1593;1299;522;501;93;324;;;;163;;;;;;;;;
E;06.06.2021;;;;GEM;15088250;Gemeinde Nemsdorf-Göhrendorf;683;463;4;459;172;102;58;35;9;37;11;3;2;9;0;1;2;0;2;12;0;0;0;1;1;2;3;460;149;113;94;37;4;43;;;;20;;;;;;;;;
E;06.06.2021;;;;GEM;15088265;Gemeinde Obhausen;1889;1208;9;1199;483;308;144;71;24;68;13;4;12;15;0;9;11;0;6;21;0;1;1;5;2;1;11;1197;442;337;208;77;14;75;;;;44;;;;;;;;;
E;06.06.2021;;;;GEM;15088295;Gemeinde Petersberg;8093;5515;87;5428;2228;1159;450;412;263;433;161;10;60;14;2;28;26;10;38;84;3;2;7;18;15;5;95;5420;1969;1224;450;622;288;529;289;;;;;;49;;;;;;
E;06.06.2021;;;;GEM;15088305;Stadt Querfurt;9009;5495;101;5394;1964;1371;678;326;152;359;92;14;75;65;0;22;36;7;36;128;1;6;3;30;22;7;107;5388;1664;1533;1111;352;99;416;;;;213;;;;;;;;;
E;06.06.2021;;;;GEM;15088319;Gemeinde Salzatal;9954;6724;90;6634;2624;1463;614;504;309;544;172;11;65;17;2;37;28;21;31;115;4;3;8;28;21;13;110;6614;2561;1483;651;564;322;609;356;;;;;;68;;;;;;
E;06.06.2021;;;;GEM;15088330;Gemeinde Schkopau;9213;6101;86;6015;2288;1385;545;421;295;463;176;12;82;28;2;30;25;5;40;131;3;6;10;37;21;10;97;6004;2162;1491;600;505;319;520;407;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15088340;Stadt Schraplau;925;512;2;510;183;144;46;34;10;32;10;2;9;9;0;7;4;3;1;7;0;0;1;4;2;2;7;505;156;159;79;44;8;36;;;;23;;;;;;;;;
E;06.06.2021;;;;GEM;15088355;Gemeinde Steigra;947;594;4;590;255;150;31;41;29;40;10;0;4;6;0;6;6;0;1;7;0;1;0;2;1;0;4;590;225;165;68;54;21;44;;;;13;;;;;;;;;
E;06.06.2021;;;;GEM;15088365;Gemeinde Teutschenthal;11323;7516;99;7417;2806;1779;720;538;289;579;216;23;102;21;2;40;48;25;52;110;1;10;6;26;22;2;124;7392;2646;1857;774;610;315;676;415;;;;;;99;;;;;;
E;06.06.2021;;;;GEM;15089005;Stadt Alsleben (Saale);2109;1134;12;1122;483;268;120;59;22;82;29;1;10;7;0;4;7;1;12;10;0;1;0;2;3;1;9;1125;482;280;134;62;29;86;52;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15089015;Stadt Aschersleben;22161;11799;138;11661;4336;2470;1477;957;483;775;457;35;160;52;4;53;71;16;63;137;4;11;14;47;24;15;177;11622;3822;2530;1740;1153;584;742;998;;;;;;53;;;;;;
E;06.06.2021;;;;GEM;15089026;Stadt Barby;6910;4058;63;3995;1669;815;384;328;149;253;147;9;62;12;0;22;41;2;29;43;0;2;5;8;11;4;67;3991;1511;853;464;463;129;287;250;;;;;;;34;;;;;
E;06.06.2021;;;;GEM;15089030;Stadt Bernburg (Saale);26635;14743;163;14580;5465;3234;1756;1059;698;1118;341;34;238;48;1;56;109;8;89;164;7;7;16;55;53;24;200;14543;5220;3401;2140;1150;712;1290;630;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15089041;Gemeinde Bördeaue;1501;877;14;863;321;243;77;63;21;63;15;2;13;5;0;6;9;0;10;6;0;0;3;3;0;3;20;857;365;236;82;67;16;66;25;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15089042;Gemeinde Bördeland;6300;3821;42;3779;1531;948;341;294;95;239;96;4;53;15;3;17;38;2;34;48;0;0;3;9;5;4;49;3772;1389;960;430;391;75;282;183;;;;;;;62;;;;;
E;06.06.2021;;;;GEM;15089043;Gemeinde Börde-Hakel;2517;1429;18;1411;523;397;133;116;30;97;20;3;28;5;0;7;18;1;6;10;0;2;0;5;6;4;20;1409;577;394;125;118;21;119;55;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15089045;Gemeinde Borne;1011;654;10;644;261;142;77;39;26;46;15;3;4;3;0;2;6;0;1;13;0;0;2;2;1;1;10;644;353;121;67;37;10;38;18;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15089055;Stadt Calbe (Saale);7227;4012;106;3906;1678;875;399;326;115;182;100;8;58;19;3;8;41;0;23;37;2;3;1;12;9;7;102;3910;1446;895;488;469;104;202;263;;;;;;;43;;;;;
E;06.06.2021;;;;GEM;15089075;Stadt Egeln;2727;1523;15;1508;649;383;128;106;41;85;22;4;33;3;0;11;9;1;8;14;0;1;1;4;3;2;13;1510;587;392;164;128;18;146;75;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15089130;Gemeinde Giersleben;802;485;8;477;175;119;62;31;17;29;15;1;5;3;0;2;3;0;1;6;0;1;1;1;2;3;10;475;161;131;57;31;22;38;35;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15089165;Stadt Güsten;3373;1822;32;1790;621;485;239;117;44;123;43;5;28;9;1;5;19;3;17;14;0;0;1;9;4;3;41;1781;576;520;265;128;53;155;84;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15089175;Stadt Hecklingen;5760;2966;43;2923;1001;948;279;191;77;194;85;3;37;6;0;13;18;1;19;26;1;5;4;5;5;5;44;2922;864;993;347;231;57;271;159;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15089185;Gemeinde Ilberstedt;882;535;11;524;188;142;63;28;13;39;11;0;8;2;0;2;10;1;6;7;0;1;0;2;0;1;14;521;173;150;71;40;21;39;27;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15089195;Stadt Könnern;6776;3772;44;3728;1433;960;404;271;73;231;151;11;32;14;1;21;26;3;25;32;0;3;4;19;6;8;45;3727;1321;1027;434;279;92;255;319;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15089235;Stadt Nienburg (Saale);5186;3409;62;3347;1381;765;299;300;69;267;61;8;43;11;0;10;23;2;25;40;1;3;4;16;9;10;78;3331;961;764;285;590;90;535;106;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15089245;Gemeinde Plötzkau;1054;623;7;616;187;191;78;31;16;42;28;3;4;2;0;7;5;0;4;8;0;0;1;2;1;6;9;614;177;203;91;33;19;49;42;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15089305;Stadt Schönebeck (Elbe);25195;13323;162;13161;5079;2819;1497;1297;512;777;248;26;220;81;8;72;130;2;77;210;7;5;10;32;28;24;170;13153;4230;2900;1812;1911;471;1160;469;;;;;;;200;;;;;
E;06.06.2021;;;;GEM;15089307;Stadt Seeland;6630;3791;69;3722;1503;800;371;309;113;247;141;8;50;12;0;23;33;4;26;42;0;1;2;22;11;4;60;3731;1437;843;428;343;120;245;290;;;;;;25;;;;;;
E;06.06.2021;;;;GEM;15089310;Stadt Staßfurt;21217;10968;133;10835;3799;2974;1245;720;273;926;247;30;146;42;4;49;115;7;76;84;11;7;6;38;21;15;159;10809;3132;3081;1464;917;177;1506;532;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15089365;Gemeinde Wolmirsleben;1118;713;12;701;266;195;68;56;17;46;17;0;8;1;0;3;6;0;2;9;2;0;4;1;0;0;14;699;285;188;59;58;7;69;33;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15090003;Gemeinde Aland;1125;694;7;687;215;136;52;31;33;27;161;4;6;0;0;5;0;0;1;10;0;3;0;1;1;1;7;687;170;138;55;38;35;29;218;;;;;;;4;;;;;
E;06.06.2021;;;;GEM;15090007;Gemeinde Altmärkische Höhe;1551;980;12;968;377;189;57;71;51;54;127;1;5;2;0;4;7;1;3;15;0;1;0;1;1;1;12;968;282;193;63;60;34;53;269;;;;;;;14;;;;;
E;06.06.2021;;;;GEM;15090008;Gemeinde Altmärkische Wische;700;432;7;425;132;78;33;35;13;26;85;1;7;0;1;5;1;0;1;4;0;0;0;1;2;0;7;425;116;76;30;30;8;24;138;;;;;;;3;;;;;
E;06.06.2021;;;;GEM;15090010;Stadt Arneburg;1277;771;15;756;253;180;76;64;31;48;69;3;8;0;0;2;5;1;4;7;0;0;0;3;2;0;16;755;227;181;81;67;18;47;128;;;;;;;6;;;;;
E;06.06.2021;;;;GEM;15090070;Stadt Bismark (Altmark);6777;4374;69;4305;1465;913;383;410;164;314;409;8;49;5;4;22;20;2;20;72;3;2;2;7;20;11;65;4309;1278;923;397;493;144;466;545;;;;;;;63;;;;;
E;06.06.2021;;;;GEM;15090135;Gemeinde Eichstedt (Altmark);723;501;4;497;173;125;56;21;18;24;52;3;5;2;0;4;1;0;4;6;0;0;0;0;2;1;5;496;146;128;53;25;19;33;86;;;;;;;6;;;;;
E;06.06.2021;;;;GEM;15090180;Gemeinde Goldbeck;1166;714;8;706;209;140;65;71;31;34;128;0;4;2;0;3;1;0;5;8;0;0;1;2;1;1;10;704;170;127;59;66;28;40;207;;;;;;;7;;;;;
E;06.06.2021;;;;GEM;15090220;Gemeinde Hassel;771;560;10;550;204;110;51;36;23;23;65;0;6;1;3;3;1;0;3;17;0;0;1;1;2;0;9;551;193;100;59;42;20;21;101;;;;;;;15;;;;;
E;06.06.2021;;;;GEM;15090225;Hansestadt Havelberg;5454;3040;46;2994;1029;579;453;227;147;156;266;4;35;5;0;12;9;1;19;25;0;5;4;7;8;3;46;2994;978;598;557;216;114;105;401;;;;;;;25;;;;;
E;06.06.2021;;;;GEM;15090245;Gemeinde Hohenberg-Krusemark;1037;656;10;646;172;188;55;51;28;25;86;2;6;1;2;3;4;0;5;14;0;0;0;0;4;0;9;647;137;182;58;50;21;26;162;;;;;;;11;;;;;
E;06.06.2021;;;;GEM;15090270;Gemeinde Iden;670;394;5;389;120;81;45;25;15;21;53;0;3;1;0;4;5;1;3;8;0;0;0;2;0;2;4;390;87;93;58;20;10;17;99;;;;;;;6;;;;;
E;06.06.2021;;;;GEM;15090285;Gemeinde Kamern;1047;623;14;609;246;109;77;45;26;22;51;5;2;0;0;2;2;0;6;12;2;0;0;1;1;0;13;610;230;104;83;42;29;22;88;;;;;;;12;;;;;
E;06.06.2021;;;;GEM;15090310;Gemeinde Klietz;1226;817;11;806;249;181;111;76;25;47;82;4;8;2;0;1;5;0;4;6;0;0;0;4;0;1;11;806;250;180;128;67;20;32;126;;;;;;;3;;;;;
E;06.06.2021;;;;GEM;15090415;Hansestadt Osterburg (Altmark);8345;5062;75;4987;1435;934;561;320;172;251;1074;4;38;3;0;19;35;0;15;92;3;1;1;13;8;8;77;4985;841;960;541;277;149;266;1874;;;;;;;77;;;;;
