state,party,name,norm_name,match_how,aw_name,aw_party,aw_politician_id,aw_url,aw_wkr,aw_list_pos,source
ST,afd,Thomas Schmirander,thomas schmirander,exact,Thomas Schmirander,afd,185513,https://www.abgeordnetenwatch.de/profile/thomas-schmirander,9,,abgeordnetenwatch
ST,afd,Tobias Rausch,tobias rausch,exact,Tobias Rausch,afd,152760,https://www.abgeordnetenwatch.de/profile/tobias-rausch,20,4,abgeordnetenwatch
ST,afd,Ulrich Siegmund,ulrich siegmund,exact,Ulrich Siegmund,afd,152749,https://www.abgeordnetenwatch.de/profile/ulrich-siegmund,5,1,abgeordnetenwatch
ST,afd,Volker Olenicak,volker olenicak,exact,Volker Olenicak,afd,152767,https://www.abgeordnetenwatch.de/profile/volker-olenicak,22,,abgeordnetenwatch
ST,bsw,Andreas Holger Kendelbacher,andreas holger kendelbacher,first_last,Andreas Kendelbacher,bsw,185107,https://www.abgeordnetenwatch.de/profile/andreas-kendelbacher,41,,abgeordnetenwatch
ST,bsw,Andreas Michelmann,andreas michelmann,exact,Andreas Michelmann,bsw,185096,https://www.abgeordnetenwatch.de/profile/andreas-michelmann,18,,abgeordnetenwatch
ST,bsw,Andreas Neubert,andreas neubert,exact,Andreas Neubert,bsw,185103,https://www.abgeordnetenwatch.de/profile/andreas-neubert,35,11,abgeordnetenwatch
ST,bsw,Carsten Reiche,carsten reiche,exact,Carsten Reiche,bsw,185088,https://www.abgeordnetenwatch.de/profile/carsten-reiche,9,,abgeordnetenwatch
ST,bsw,Christian Samter,christian samter,exact,Christian Samter,bsw,185099,https://www.abgeordnetenwatch.de/profile/christian-samter,22,,abgeordnetenwatch
ST,bsw,Dr. Claudia Wittig,claudia wittig,exact,Claudia Wittig,bsw,185105,https://www.abgeordnetenwatch.de/profile/claudia-wittig,37,2,abgeordnetenwatch
ST,bsw,Dr. Sylvia Winkelmann-Witkowsky,sylvia winkelmann-witkowsky,exact,Sylvia Winkelmann-Witkowsky,bsw,185104,https://www.abgeordnetenwatch.de/profile/sylvia-winkelmann-witkowsky,36,,abgeordnetenwatch
ST,bsw,Frank Roßband,frank rossband,exact,Frank Roßband,bsw,185082,https://www.abgeordnetenwatch.de/profile/frank-rossband,2,,abgeordnetenwatch
ST,bsw,Heiko Behne,heiko behne,exact,Heiko Behne,bsw,185081,https://www.abgeordnetenwatch.de/profile/heiko-behne,1,,abgeordnetenwatch
ST,bsw,Holger Köhne,holger koehne,exact,Holger Köhne,bsw,185083,https://www.abgeordnetenwatch.de/profile/holger-koehne,3,10,abgeordnetenwatch
ST,bsw,Hugo Boeck,hugo boeck,exact,Hugo Boeck,bsw,124195,https://www.abgeordnetenwatch.de/profile/hugo-boeck,13,,abgeordnetenwatch
ST,bsw,Joachim Pasemann,joachim pasemann,exact,Joachim Pasemann,bsw,185094,https://www.abgeordnetenwatch.de/profile/joachim-pasemann,16,,abgeordnetenwatch
ST,bsw,John Lucas Dittrich,john lucas dittrich,exact,John Lucas Dittrich,bsw,185090,https://www.abgeordnetenwatch.de/profile/john-lucas-dittrich,11,5,abgeordnetenwatch
ST,bsw,Lenny Werner Wapenhans,lenny werner wapenhans,first_last,Lenny Wapenhans,bsw,185091,https://www.abgeordnetenwatch.de/profile/lenny-wapenhans,12,,abgeordnetenwatch
ST,bsw,László Müller,laszlo mueller,exact,László Müller,bsw,124231,https://www.abgeordnetenwatch.de/profile/laszlo-mueller,34,,abgeordnetenwatch
ST,bsw,Matthias Hohmann,matthias hohmann,exact,Matthias Hohmann,bsw,185086,https://www.abgeordnetenwatch.de/profile/matthias-hohmann,6,16,abgeordnetenwatch
ST,bsw,Maximilian Schwartz,maximilian schwartz,exact,Maximilian Schwartz,bsw,185093,https://www.abgeordnetenwatch.de/profile/maximilian-schwartz,15,12,abgeordnetenwatch
ST,bsw,Michael Fürst,michael fuerst,wkr_lastname,Wolfgang Michael Fürst,bsw,185511,https://www.abgeordnetenwatch.de/profile/wolfgang-michael-fuerst,8,,abgeordnetenwatch
ST,bsw,Michael Reim,michael reim,exact,Michael Reim,bsw,185095,https://www.abgeordnetenwatch.de/profile/michael-reim,17,4,abgeordnetenwatch
ST,bsw,Michael Wolfgang Fürst,michael wolfgang fuerst,wkr_lastname,Wolfgang Michael Fürst,bsw,185511,https://www.abgeordnetenwatch.de/profile/wolfgang-michael-fuerst,8,,abgeordnetenwatch
ST,bsw,Monika Gehlis,monika gehlis,exact,Monika Gehlis,bsw,185092,https://www.abgeordnetenwatch.de/profile/monika-gehlis,14,14,abgeordnetenwatch
ST,bsw,Oliver Bart,oliver bart,exact,Oliver Bart,bsw,185087,https://www.abgeordnetenwatch.de/profile/oliver-bart,7,15,abgeordnetenwatch
ST,bsw,Roland Herbert,roland herbert,exact,Roland Herbert,bsw,185097,https://www.abgeordnetenwatch.de/profile/roland-herbert,19,,abgeordnetenwatch
ST,bsw,Rudenz Schramm,rudenz schramm,exact,Rudenz Schramm,bsw,185106,https://www.abgeordnetenwatch.de/profile/rudenz-schramm,38,6,abgeordnetenwatch
ST,bsw,Thomas Schulze,thomas schulze,exact,Thomas Schulze,bsw,185085,https://www.abgeordnetenwatch.de/profile/thomas-schulze-0,5,1,abgeordnetenwatch
ST,bsw,Uwe Erich Georgi,uwe erich georgi,first_last,Uwe Georgi,bsw,185098,https://www.abgeordnetenwatch.de/profile/uwe-georgi,20,,abgeordnetenwatch
ST,bsw,Vinzenz Louis Mühlbach,vinzenz louis muehlbach,exact,Vinzenz Louis Mühlbach,bsw,185089,https://www.abgeordnetenwatch.de/profile/vinzenz-louis-muehlbach,10,18,abgeordnetenwatch
ST,bsw,Volkmar Gryschok,volkmar gryschok,exact,Volkmar Gryschok,bsw,185084,https://www.abgeordnetenwatch.de/profile/volkmar-gryschok,4,,abgeordnetenwatch
ST,cdu,Alexander Räuscher,alexander raeuscher,exact,Alexander Räuscher,cdu,175203,https://www.abgeordnetenwatch.de/profile/alexander-raeuscher,15,36,abgeordnetenwatch
ST,cdu,Andreas Schumann,andreas schumann,exact,Andreas Schumann,cdu,118110,https://www.abgeordnetenwatch.de/profile/andreas-schumann,13,29,abgeordnetenwatch
ST,cdu,Artjom Pusch,artjom pusch,exact,Artjom Pusch,cdu,181063,https://www.abgeordnetenwatch.de/profile/artjom-pusch,14,18,abgeordnetenwatch
ST,cdu,Bianca Heine,bianca heine,exact,Bianca Heine,cdu,184950,https://www.abgeordnetenwatch.de/profile/bianca-heine,16,30,abgeordnetenwatch
ST,cdu,Carsten Borchert,carsten borchert,exact,Carsten Borchert,cdu,152746,https://www.abgeordnetenwatch.de/profile/carsten-borchert,1,14,abgeordnetenwatch
ST,cdu,Chris Schulenburg,chris schulenburg,exact,Chris Schulenburg,cdu,152748,https://www.abgeordnetenwatch.de/profile/chris-schulenburg,3,2,abgeordnetenwatch
ST,cdu,Christian Albrecht,christian albrecht,exact,Christian Albrecht,cdu,175224,https://www.abgeordnetenwatch.de/profile/christian-albrecht,35,35,abgeordnetenwatch
ST,cdu,Christopher Schult,christopher schult,exact,Christopher Schult,cdu,184948,https://www.abgeordnetenwatch.de/profile/christopher-schult,8,27,abgeordnetenwatch
ST,cdu,Claudia Freia Schmidt,claudia freia schmidt,first_last,Claudia Schmidt,cdu,184956,https://www.abgeordnetenwatch.de/profile/claudia-schmidt-1,38,40,abgeordnetenwatch
ST,cdu,Daniel Sturm,daniel sturm,exact,Daniel Sturm,cdu,124093,https://www.abgeordnetenwatch.de/profile/daniel-sturm,40,7,abgeordnetenwatch
