electiondate,land,electiondate_l1,party,vote_share,on_ballot,vote_share_l1
2017-05-07,sh,2012-05-06,fw,NA,0,NA
2022-05-08,sh,2017-05-07,fw,NA,0,NA
1979-04-29,sh,1975-04-13,gru,2.4000000953674316,1,NA
1983-03-13,sh,1979-04-29,gru,3.5999999046325684,1,2.4000000953674316
1987-09-13,sh,1983-03-13,gru,3.9000000953674316,1,3.5999999046325684
1988-05-08,sh,1987-09-13,gru,2.9000000953674316,1,3.9000000953674316
1992-04-05,sh,1988-05-08,gru,4.96999979019165,1,2.9000000953674316
1996-03-24,sh,1992-04-05,gru,8.100000381469727,1,4.96999979019165
2000-02-27,sh,1996-03-24,gru,6.199999809265137,1,8.100000381469727
2005-02-20,sh,2000-02-27,gru,6.199999809265137,1,6.199999809265137
2009-09-27,sh,2005-02-20,gru,12.399999618530273,1,6.199999809265137
2012-05-06,sh,2009-09-27,gru,13.199999809265137,1,12.399999618530273
2017-05-07,sh,2012-05-06,gru,12.9,1,13.199999809265137
2022-05-08,sh,2017-05-07,gru,18.3,1,12.9
2000-02-27,sh,1996-03-24,lin,1.399999976158142,1,NA
2005-02-20,sh,2000-02-27,lin,0.800000011920929,1,1.399999976158142
2009-09-27,sh,2005-02-20,lin,6,1,0.800000011920929
2012-05-06,sh,2009-09-27,lin,2.299999952316284,1,6
2017-05-07,sh,2012-05-06,lin,3.8,1,2.299999952316284
2022-05-08,sh,2017-05-07,lin,1.7,1,3.8
2017-05-07,sh,2012-05-06,npd,NA,0,NA
2022-05-08,sh,2017-05-07,npd,NA,0,NA
2017-05-07,sh,2012-05-06,pir,1.2,1,NA
2022-05-08,sh,2017-05-07,pir,0.3,1,1.2
1947-02-20,sh,NA,spd,43.79999923706055,1,NA
1950-07-09,sh,1947-02-20,spd,27.5,1,43.79999923706055
1954-09-12,sh,1950-07-09,spd,33.20000076293945,1,27.5
1958-11-28,sh,1954-09-12,spd,35.900001525878906,1,33.20000076293945
1962-11-23,sh,1958-11-28,spd,39.20000076293945,1,35.900001525878906
1967-04-23,sh,1962-11-23,spd,39.400001525878906,1,39.20000076293945
1971-04-25,sh,1967-04-23,spd,41,1,39.400001525878906
1975-04-13,sh,1971-04-25,spd,40.099998474121094,1,41
1979-04-29,sh,1975-04-13,spd,41.70000076293945,1,40.099998474121094
1983-03-13,sh,1979-04-29,spd,43.70000076293945,1,41.70000076293945
1987-09-13,sh,1983-03-13,spd,45.20000076293945,1,43.70000076293945
1988-05-08,sh,1987-09-13,spd,54.79999923706055,1,45.20000076293945
1992-04-05,sh,1988-05-08,spd,46.20000076293945,1,54.79999923706055
1996-03-24,sh,1992-04-05,spd,39.79999923706055,1,46.20000076293945
2000-02-27,sh,1996-03-24,spd,43.099998474121094,1,39.79999923706055
2005-02-20,sh,2000-02-27,spd,38.70000076293945,1,43.099998474121094
2009-09-27,sh,2005-02-20,spd,25.399999618530273,1,38.70000076293945
2012-05-06,sh,2009-09-27,spd,30.399999618530273,1,25.399999618530273
2017-05-07,sh,2012-05-06,spd,27.3,1,30.399999618530273
2022-05-08,sh,2017-05-07,spd,16,1,27.3
2017-03-26,sl,2012-03-25,afd,6.2,1,NA
2022-03-27,sl,2017-03-26,afd,5.7,1,6.2
2017-03-26,sl,2012-03-25,bsw,NA,0,NA
2022-03-27,sl,2017-03-26,bsw,NA,0,NA
1955-12-18,sl,1947-10-05,cdu,25.399999618530273,1,NA
1960-12-04,sl,1955-12-18,cdu,36.599998474121094,1,25.399999618530273
1965-06-27,sl,1960-12-04,cdu,42.70000076293945,1,36.599998474121094
1970-06-14,sl,1965-06-27,cdu,47.79999923706055,1,42.70000076293945
1975-05-04,sl,1970-06-14,cdu,49.099998474121094,1,47.79999923706055
1980-04-27,sl,1975-05-04,cdu,44,1,49.099998474121094
1985-03-10,sl,1980-04-27,cdu,37.29999923706055,1,44
1990-01-28,sl,1985-03-10,cdu,33.400001525878906,1,37.29999923706055
1994-10-16,sl,1990-01-28,cdu,38.599998474121094,1,33.400001525878906
1999-09-05,sl,1994-10-16,cdu,45.5,1,38.599998474121094
2004-09-05,sl,1999-09-05,cdu,47.5,1,45.5
2009-08-30,sl,2004-09-05,cdu,34.5,1,47.5
2012-03-25,sl,2009-08-30,cdu,35.20000076293945,1,34.5
2017-03-26,sl,2012-03-25,cdu,40.7,1,35.20000076293945
2022-03-27,sl,2017-03-26,cdu,28.5,1,40.7
1947-10-05,sl,NA,fdp,7.599999904632568,1,NA
1955-12-18,sl,1947-10-05,fdp,24.200000762939453,1,7.599999904632568
1960-12-04,sl,1955-12-18,fdp,13.800000190734863,1,24.200000762939453
1965-06-27,sl,1960-12-04,fdp,8.300000190734863,1,13.800000190734863
1970-06-14,sl,1965-06-27,fdp,4.400000095367432,1,8.300000190734863
1975-05-04,sl,1970-06-14,fdp,7.400000095367432,1,4.400000095367432
1980-04-27,sl,1975-05-04,fdp,6.900000095367432,1,7.400000095367432
1985-03-10,sl,1980-04-27,fdp,10,1,6.900000095367432
