Wahl zum Landtag von Mecklenburg-Vorpommern am 20. September 2026
Vorläufiges Ergebnis am 21.09.2026 um 00:01:10 Uhr - Mandate der Parteien
Die Partei "Handwerker Partei Deutschland" führt keine Kurzbezeichnung.
(c) Der Landeswahlleiter Mecklenburg-Vorpommern

Berechnungsdatum;Sort;Wahlkreis;Wahlkreisname/Land;Wahlbezirke insg.;Erf. Wahlbezirke;Wahlberechtigte;Wähler;Mandatstyp;SPD;AfD;CDU;Die Linke;GRÜNE;FDP;Tierschutzpartei;FREIE WÄHLER;Die PARTEI;PIRATEN;ÖDP;Bündnis C;BSW;Handwerker Partei Deutschland;KPD;PdF;Team Freiheit;Volt;WLD;LfK;Einzelbewerber
21.09.2026 00:01:10;28;28;Nordwestmecklenburg II;71;71;48421;39332;Direktmandate;0;1;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;29;29;Vorpommern-Greifswald II;64;64;36428;28135;Direktmandate;0;1;0;0;0;0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;30;30;Vorpommern-Greifswald III;68;68;45924;35571;Direktmandate;0;1;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;31;31;Ludwigslust-Parchim IV;64;64;36932;28409;Direktmandate;0;1;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;0;x;x
21.09.2026 00:01:10;32;32;Ludwigslust-Parchim V;64;64;36501;29859;Direktmandate;0;1;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;0
21.09.2026 00:01:10;33;33;Vorpommern-Rügen IV;37;37;25390;19394;Direktmandate;0;1;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;34;34;Vorpommern-Rügen V;39;39;28115;21123;Direktmandate;0;1;0;0;0;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;0
21.09.2026 00:01:10;35;35;Vorpommern-Greifswald IV;48;48;27177;20367;Direktmandate;0;1;0;0;x;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;36;36;Vorpommern-Greifswald V;59;59;24766;18447;Direktmandate;0;1;0;0;x;0;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x
21.09.2026 00:01:10;99;99;Mecklenburg-Vorpommern;1974;1974;1311294;1024251;Direktmandate;14;22;0;0;0;0;x;0;0;x;x;x;0;x;x;x;0;0;0;0;0
21.09.2026 00:01:10;100;99;Mecklenburg-Vorpommern;1974;1974;1311294;1024251;darunter Überhangmandate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.09.2026 00:01:10;101;99;Mecklenburg-Vorpommern;1974;1974;1311294;1024251;Mandate nach Landesliste;15;10;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.09.2026 00:01:10;102;99;Mecklenburg-Vorpommern;1974;1974;1311294;1024251;darunter Ausgleichsmandate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.09.2026 00:01:10;103;99;Mecklenburg-Vorpommern;1974;1974;1311294;1024251;Insgesamt;29;32;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
