wkr,party,partei,name,source
9,fdp,FDP,Patrick Eising,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
9,gruene,GRÜNE,Stefan Burger,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
9,linke,LINKE,Salim Hemeed,https://kampagne26.die-linke-mv.de/direktkandidierende/
9,spd,SPD,Mandy Pfeifer,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
10,afd,AfD,Manuela Medrow,https://afd-mv.de/blaue-wende-2026/#Kandidaten
10,bsw,BSW,Linda Csutora,https://mv.bsw-vg.de/unsere-direktkandidaten/
10,cdu,CDU/CSU,Christoph Meister,https://cdu-mv.de/landtagskandidaten2026cdumv/
10,fdp,FDP,Nadine Kelm,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
10,gruene,GRÜNE,René Fuhrwerk,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
10,linke,LINKE,Horst Krumpen,https://kampagne26.die-linke-mv.de/direktkandidierende/
10,spd,SPD,Tilo Gundlack,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
11,afd,AfD,Thomas de Jesus Fernandes,https://afd-mv.de/blaue-wende-2026/#Kandidaten
11,bsw,BSW,Stephan Hopp,https://mv.bsw-vg.de/unsere-direktkandidaten/
11,cdu,CDU/CSU,Katy Hoffmeister,https://cdu-mv.de/landtagskandidaten2026cdumv/
11,fdp,FDP,Whitney Bräunig,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
11,gruene,GRÜNE,Hannes Pieper,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
11,linke,LINKE,Luis Kröplin,https://kampagne26.die-linke-mv.de/direktkandidierende/
11,spd,SPD,Stefanie Drese,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
12,afd,AfD,Werner Moltzen,https://afd-mv.de/blaue-wende-2026/#Kandidaten
12,bsw,BSW,Rica Esemann,https://mv.bsw-vg.de/unsere-direktkandidaten/
12,cdu,CDU/CSU,Mario Schacht,https://cdu-mv.de/landtagskandidaten2026cdumv/
12,fdp,FDP,Kai-Uwe Richter,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
12,gruene,GRÜNE,Klaus-Michael Bull,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
12,linke,LINKE,Peter Georgi,https://kampagne26.die-linke-mv.de/direktkandidierende/
12,spd,SPD,Dirk Stamer,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
13,afd,AfD,Enrico Schult,https://afd-mv.de/blaue-wende-2026/#Kandidaten
13,bsw,BSW,Robert Koch,https://mv.bsw-vg.de/unsere-direktkandidaten/
13,cdu,CDU/CSU,Franz-Robert Liskow,https://cdu-mv.de/landtagskandidaten2026cdumv/
