party,list_type,bezirk,list_pos,name,person_id,wkr_direct,source,is_placeholder
spd,landes,,40,Lennart Harms,mv:spd:person:lennart harms,5,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,41,Lea Tiedke,mv:spd:person:lea tiedke,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,42,Erik von Malottki,mv:spd:person:erik von malottki,3,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,43,Melina Shafaei,mv:spd:person:melina shafaei,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,44,Thomas Herrholz,mv:spd:person:thomas herrholz,22,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,45,Anne Fischer,mv:spd:person:anne fischer,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,46,Asem Alsayjare,mv:spd:person:asem alsayjare,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,47,Cornelia Reitberger,mv:spd:person:cornelia reitberger,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,48,Sebastian Langer-Corinth,mv:spd:person:sebastian langer-corinth,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,49,Sandra Kallisch-Puchelt,mv:spd:person:sandra kallisch-puchelt,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,50,Alexander Plaumann,mv:spd:person:alexander plaumann,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,51,Martin Tischer,mv:spd:person:martin tischer,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,52,Ingo Prehn,mv:spd:person:ingo prehn,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,53,Manuel Peters,mv:spd:person:manuel peters,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,54,Michael Tiedke,mv:spd:person:michael tiedke,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,55,Christoph Berner,mv:spd:person:christoph berner,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,56,Josef Awaad,mv:spd:person:josef awaad,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,57,Tom Lüth,mv:spd:person:tom lueth,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,58,Mohammed Alsaleh,mv:spd:person:mohammed alsaleh,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,59,Felix Scharge,mv:spd:person:felix scharge,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,60,Ronny Keßler,mv:spd:person:ronny kessler,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,61,David Krüger,mv:spd:person:david krueger,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,62,Sven Scholz,mv:spd:person:sven scholz,,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026,0
spd,landes,,63,Listenplatz 63 · unbekannt,mv:spd:list:landes:land:63,,,1
spd,landes,,64,Listenplatz 64 · unbekannt,mv:spd:list:landes:land:64,,,1
spd,landes,,65,Listenplatz 65 · unbekannt,mv:spd:list:landes:land:65,,,1
afd,landes,,1,Enrico Schult,mv:afd:person:enrico schult,13,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,2,Thore Stein,mv:afd:person:thore stein,31,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,3,Michael Kasch,mv:afd:person:michael kasch,26,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,4,Martin Schmidt,mv:afd:person:martin schmidt,18,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,5,Sandra Graf,mv:afd:person:sandra graf,25,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,6,Jan-Phillip Tadsen,mv:afd:person:jan-phillip tadsen,32,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,7,Carlos Rodrigues,mv:afd:person:carlos rodrigues,24,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,8,Paul Timm,mv:afd:person:paul timm,28,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,9,Robert Schnell,mv:afd:person:robert schnell,3,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,10,Alexander Tschich,mv:afd:person:alexander tschich,19,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,11,David Jenniches,mv:afd:person:david jenniches,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,12,Thomas Naulin,mv:afd:person:thomas naulin,34,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,13,Steffi Burmeister,mv:afd:person:steffi burmeister,15,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,14,Nicole Ehlers,mv:afd:person:nicole ehlers,17,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,15,Jannick Schreiber,mv:afd:person:jannick schreiber,27,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,16,Tommy Thormann,mv:afd:person:tommy thormann,33,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,17,Sarah Hoge,mv:afd:person:sarah hoge,21,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,18,Christian Zorn,mv:afd:person:christian zorn,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,19,Kevin Kurtze,mv:afd:person:kevin kurtze,1,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,20,Christian Skotnik,mv:afd:person:christian skotnik,14,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,21,Petra Federau,mv:afd:person:petra federau,9,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,22,Werner Moltzen,mv:afd:person:werner moltzen,12,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,23,Jarod Schilke,mv:afd:person:jarod schilke,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,24,Dr. Stefan Stein,mv:afd:person:stefan stein,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,25,Jan-Michael Martin,mv:afd:person:jan-michael martin,22,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,26,Peter Reizlein,mv:afd:person:peter reizlein,16,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,27,Frank Müller,mv:afd:person:frank mueller,20,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,28,Thomas de Jesus Fernandes,mv:afd:person:thomas de jesus fernandes,11,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,29,Steffen Schrauber,mv:afd:person:steffen schrauber,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,30,Nicole Halle,mv:afd:person:nicole halle,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,31,Andreas Nagel,mv:afd:person:andreas nagel,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,32,Sven Jacobs,mv:afd:person:sven jacobs,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,33,Frank Rybka,mv:afd:person:frank rybka,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,34,Mirko Kohls,mv:afd:person:mirko kohls,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,35,Marko Giebner,mv:afd:person:marko giebner,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,36,Ulf Braum,mv:afd:person:ulf braum,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,37,Anita Zimmermann,mv:afd:person:anita zimmermann,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,38,Ralf Eisenhardt,mv:afd:person:ralf eisenhardt,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,39,Thomas Pfitzner,mv:afd:person:thomas pfitzner,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,40,Hannes Franck,mv:afd:person:hannes franck,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,41,Marco Holter,mv:afd:person:marco holter,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,42,Beatrice Schmitt-Schröder,mv:afd:person:beatrice schmitt-schroeder,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,43,Jan Steinfurth,mv:afd:person:jan steinfurth,23,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,44,Sebastian Beyer,mv:afd:person:sebastian beyer,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,45,Helmut Schulz,mv:afd:person:helmut schulz,5,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,46,Enrico Deicke,mv:afd:person:enrico deicke,6,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,47,Mario Petersen,mv:afd:person:mario petersen,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,48,Birgit Wismer,mv:afd:person:birgit wismer,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,49,Roland Korth,mv:afd:person:roland korth,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,50,Philipp Prochnow,mv:afd:person:philipp prochnow,,https://afd-mv.de/blaue-wende-2026/,0
afd,landes,,51,Listenplatz 51 · unbekannt,mv:afd:list:landes:land:51,,,1
afd,landes,,52,Listenplatz 52 · unbekannt,mv:afd:list:landes:land:52,,,1
afd,landes,,53,Listenplatz 53 · unbekannt,mv:afd:list:landes:land:53,,,1
afd,landes,,54,Listenplatz 54 · unbekannt,mv:afd:list:landes:land:54,,,1
afd,landes,,55,Listenplatz 55 · unbekannt,mv:afd:list:landes:land:55,,,1
afd,landes,,56,Listenplatz 56 · unbekannt,mv:afd:list:landes:land:56,,,1
afd,landes,,57,Listenplatz 57 · unbekannt,mv:afd:list:landes:land:57,,,1
afd,landes,,58,Listenplatz 58 · unbekannt,mv:afd:list:landes:land:58,,,1
afd,landes,,59,Listenplatz 59 · unbekannt,mv:afd:list:landes:land:59,,,1
afd,landes,,60,Listenplatz 60 · unbekannt,mv:afd:list:landes:land:60,,,1
afd,landes,,61,Listenplatz 61 · unbekannt,mv:afd:list:landes:land:61,,,1
afd,landes,,62,Listenplatz 62 · unbekannt,mv:afd:list:landes:land:62,,,1
afd,landes,,63,Listenplatz 63 · unbekannt,mv:afd:list:landes:land:63,,,1
afd,landes,,64,Listenplatz 64 · unbekannt,mv:afd:list:landes:land:64,,,1
afd,landes,,65,Listenplatz 65 · unbekannt,mv:afd:list:landes:land:65,,,1
cdu,landes,,1,Daniel Peters,mv:cdu:person:daniel peters,7,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf,0
cdu,landes,,2,Katy Hoffmeister,mv:cdu:person:katy hoffmeister,11,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf,0
cdu,landes,,3,Franz-Robert Liskow,mv:cdu:person:franz-robert liskow,13,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf,0
cdu,landes,,4,Sebastian Ehlers,mv:cdu:person:sebastian ehlers,,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf,0
cdu,landes,,5,Ann Christin von Allwörden,mv:cdu:person:ann christin von allwoerden,26,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf,0
cdu,landes,,6,Harry Glawe,mv:cdu:person:harry glawe,24,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf,0
cdu,landes,,7,Marc Reinhardt,mv:cdu:person:marc reinhardt,14,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf,0
cdu,landes,,8,Jeannette von Busse,mv:cdu:person:jeannette von busse,30,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf,0
cdu,landes,,9,Torsten Renz,mv:cdu:person:torsten renz,15,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf,0
cdu,landes,,10,Wolfgang Waldmüller,mv:cdu:person:wolfgang waldmueller,31,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf,0
cdu,landes,,11,Yvette Schöler,mv:cdu:person:yvette schoeler,2,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf,0
cdu,landes,,12,Thomas Grote,mv:cdu:person:thomas grote,27,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf,0
cdu,landes,,13,Dorin Müthel-Brenncke,mv:cdu:person:dorin muethel-brenncke,9,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf,0
cdu,landes,,14,Sandra Nachtweih,mv:cdu:person:sandra nachtweih,,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf,0
cdu,landes,,15,Birgit Mietzner,mv:cdu:person:birgit mietzner,34,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf,0
cdu,landes,,16,Christian Geier,mv:cdu:person:christian geier,18,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf,0
cdu,landes,,17,Chris Günther,mv:cdu:person:chris guenther,4,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf,0
cdu,landes,,18,Veikko Hackendahl,mv:cdu:person:veikko hackendahl,16,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf,0
cdu,landes,,19,Benjamin Heinke,mv:cdu:person:benjamin heinke,23,https://cdu-mv.de/wp-content/uploads/2026/01/Landesliste-nach-LVV.pdf,0
