wahlkreis,wahlkreisname,gültige_stimmen_erst,spd_erst,afd_erst,cdu_erst,linke_erst,gruene_erst,fdp_erst,bsw_erst,others_erst,gültige_stimmen_zweit,spd_zweit,afd_zweit,cdu_zweit,linke_zweit,gruene_zweit,fdp_zweit,bsw_zweit,others_zweit
51,Neukölln 4,17369,5165,1827,7477,748,876,533,0,743,17377,4782,1850,7153,801,907,627,0,1257
52,Neukölln 5,20166,5014,2006,8682,955,1610,729,0,1170,20177,5101,1989,8136,889,1706,895,0,1461
53,Neukölln 6,20268,5994,2109,9190,735,1044,733,0,463,20322,5123,2195,8929,726,1146,852,0,1351
54,Treptow-Köpenick 1,21881,3492,2142,4120,5670,4215,593,0,1649,18101,2729,1575,2882,3933,4060,503,0,2419
55,Treptow-Köpenick 2,21529,6277,2923,4513,3477,2297,619,0,1423,16304,2782,1998,3195,2909,2536,611,0,2273
56,Treptow-Köpenick 3,21468,4082,3656,7022,2560,1849,703,0,1596,18489,3815,2430,4706,2669,2142,661,0,2066
57,Treptow-Köpenick 4,23464,5538,3232,6386,3275,2359,854,0,1820,19833,3317,3570,6903,2247,1180,711,0,1905
58,Treptow-Köpenick 5,18699,4279,3378,5180,2792,1294,625,0,1151,18576,3531,2639,4826,2737,2191,803,0,1849
59,Treptow-Köpenick 6,23141,4268,2768,7306,4158,2700,750,0,1191,17826,3449,3252,5063,2683,1178,749,0,1452
60,Treptow-Köpenick 7,21163,3823,2626,6336,3492,2643,752,0,1491,21163,3823,2626,6336,3492,2643,752,0,1491
61,Marzahn-Hellersdorf 1,13691,2366,3945,3013,2499,419,271,0,1178,13696,2059,3835,3143,2185,482,304,0,1688
62,Marzahn-Hellersdorf 2,17093,3242,3580,4353,3456,696,473,0,1293,17104,3088,3495,4594,2993,707,432,0,1795
63,Marzahn-Hellersdorf 3,14923,2318,3865,3692,2552,593,422,0,1481,14945,2237,3765,3671,2217,643,403,0,2009
64,Marzahn-Hellersdorf 4,22132,2814,3116,9494,3314,1582,498,0,1314,22142,3469,3251,8072,3187,1508,668,0,1987
65,Marzahn-Hellersdorf 5,25416,3909,3212,11446,2952,1814,797,0,1286,25450,4123,3377,10196,2934,1904,1029,0,1887
