"Ergebnisart";"Datum";"Uhrzeit";"Soll.Wahlbezirke";"Ist.Wahlbezirke";"Satzart";"Schlüsselnummer";"Name";"Wahllokal";"A.Wahlberechtigte";"B.Wähler";"E.Ungültige.Zweitstimmen";"F.Gültige.Zweitstimmen";"F01.CDU";"F02.AfD";"F03.Die Linke";"F04.SPD";"F05.FDP";"F06.GRÜNE";"F07.FREIE WÄHLER";"F08.dieBasis";"F09.Tierschutzpartei";"F10.Gartenpartei";"F11.Die PARTEI";"F12.TIERSCHUTZALLIANZ";"F15.BSW";"F19.PdF";"F20.Volt";"C.Ungültige.Erststimmen";"D.Gültige.Erststimmen";"D01.CDU";"D02.AfD";"D03.Die Linke";"D04.SPD";"D05.FDP";"D06.GRÜNE";"D07.FREIE WÄHLER";"D09.Tierschutzpartei";"D10.Gartenpartei";"D11.Die PARTEI";"D12.TIERSCHUTZALLIANZ";"D13.HEIMAT";"D15.BSW";"D19.PdF";"D20.Volt";"D21.EB";"Gewählt im Wahlkreis"
"Z";"06.09.2026";"23:47:08";2149;2139;"LAN";"15";"Sachsen-Anhalt";"U";1693516;957170;10858;946312;137730;484415;72086;72801;21781;70444;10435;1427;10362;5035;2456;5219;47379;1771;2971;12218;944952;193603;491015;98947;63795;26632;26557;9647;792;1683;580;573;232;26953;1694;430;1819;""
"Z";"06.09.2026";"23:42:22";511;475;"LAN";"15";"Sachsen-Anhalt";"B";0;324249;1789;322460;78161;77417;35684;43878;10605;42429;4415;420;3430;2173;905;1805;19065;868;1205;2868;321381;106924;76738;52501;34210;12322;16988;4515;316;1254;197;426;93;12536;823;327;1211;""
"Z";"06.09.2026";"23:47:08";2660;2614;"LAN";"15";"Sachsen-Anhalt";"";1693516;1281419;12647;1268772;215891;561832;107770;116679;32386;112873;14850;1847;13792;7208;3361;7024;66444;2639;4176;15086;1266333;300527;567753;151448;98005;38954;43545;14162;1108;2937;777;999;325;39489;2517;757;3030;""
"V";"06.09.2026";"21:47:17";57;57;"KRS";"15001";"Dessau-Roßlau, Stadt";"U";61152;34306;393;33913;5218;15430;2648;2968;959;3146;304;35;418;164;91;199;2163;42;128;500;33806;8314;16324;3497;2560;1414;1174;367;;;;;156;;;;;""
"V";"06.09.2026";"23:17:11";22;22;"KRS";"15001";"Dessau-Roßlau, Stadt";"B";0;12777;80;12697;3333;2704;1305;1741;493;1791;151;17;147;66;29;60;800;21;39;169;12608;5093;2801;1665;1302;759;776;153;;;;;59;;;;;""
"V";"06.09.2026";"23:17:11";79;79;"KRS";"15001";"Dessau-Roßlau, Stadt";"";61152;47083;473;46610;8551;18134;3953;4709;1452;4937;455;52;565;230;120;259;2963;63;167;669;46414;13407;19125;5162;3862;2173;1950;520;;;;;215;;;;;""
"Z";"06.09.2026";"23:01:01";126;124;"KRS";"15002";"Halle (Saale), Stadt";"U";171941;87768;922;86846;10638;32282;9069;9325;2325;15654;632;131;917;330;281;440;4360;139;323;1034;86734;15127;32728;18800;7718;2622;5493;385;;;;;;3667;;;194;""
"Z";"06.09.2026";"22:57:36";60;56;"KRS";"15002";"Halle (Saale), Stadt";"B";0;41794;188;41606;7340;6366;5554;6794;1359;10714;362;61;338;192;130;157;2012;79;148;267;41527;9876;6217;12996;4943;1596;3554;248;;;;;;2000;;;97;""
"Z";"06.09.2026";"23:01:01";186;180;"KRS";"15002";"Halle (Saale), Stadt";"";171941;129562;1110;128452;17978;38648;14623;16119;3684;26368;994;192;1255;522;411;597;6372;218;471;1301;128261;25003;38945;31796;12661;4218;9047;633;;;;;;5667;;;291;""
"V";"06.09.2026";"22:10:38";148;148;"KRS";"15003";"Magdeburg, Landeshauptstadt";"U";176179;87741;833;86908;10925;36042;8587;8553;2170;12349;442;129;797;1211;254;691;4227;125;406;829;86912;18822;36539;13847;6180;2069;3311;;;1683;;573;;3635;;253;;""
