wkr,party,partei,name,source
9,linke,LINKE,Sophie Manleitner,official:scrape_17.pdf
14,linke,LINKE,Alexander Luft,official:scrape_05.pdf
15,linke,LINKE,Lukas Franke,official:scrape_05.pdf
16,linke,LINKE,Katja Käfer,official:scrape_05.pdf
17,linke,LINKE,Maik Fye,official:scrape_05.pdf
22,linke,LINKE,Andreas Die Linke Pulst,official:scrape_12.pdf
26,linke,LINKE,Kevin Goldhahn,official:dessau_zugelassen.pdf
27,linke,LINKE,Stine Rummel-Strebelow,official:wk27_oranienbaum.pdf
28,linke,LINKE,Antonia Die Linke Kaloff,official:scrape_12.pdf
29,linke,LINKE,Isabell Anton,official:scrape_26.pdf
30,linke,LINKE,Stefan Gebhardt,official:scrape_27.pdf
31,linke,LINKE,André Röthel,official:scrape_27.pdf
32,linke,LINKE,Andreas Tschurn,official:scrape_26.pdf
33,linke,LINKE,Leila Kim Eisfelder-Mylius,official:scrape_26.pdf
34,linke,LINKE,Julia Mayer,official:scrape_26.pdf
3,spd,SPD,Eric Böllstorf,official:scrape_00.pdf
4,spd,SPD,Juliane Kleemann,official:scrape_00.pdf
7,spd,SPD,Philipp Morgner,official:scrape_17.pdf
8,spd,SPD,Katrin Gensecke,official:scrape_17.pdf
9,spd,SPD,Thorben Nick Rehak,official:scrape_17.pdf
14,spd,SPD,Nils Johannson,official:scrape_05.pdf
15,spd,SPD,Florian Fahrtmann,official:scrape_05.pdf
17,spd,SPD,Nadine Hillecke,official:scrape_05.pdf
23,spd,SPD,Tobias Böttcher,official:scrape_12.pdf
26,spd,SPD,Larissa Wallner,official:dessau_zugelassen.pdf
27,spd,SPD,Daniel Frank Kutsche,official:wk27_oranienbaum.pdf
29,spd,SPD,Danilo Pee-Moch,official:scrape_26.pdf
30,spd,SPD,Aick Pietschmann,official:scrape_27.pdf
31,spd,SPD,Friedrich Ruschke,official:scrape_27.pdf
32,spd,SPD,Raphael Coccejus,official:scrape_26.pdf
33,spd,SPD,Dr. Andreas Schmidt,official:scrape_26.pdf
34,spd,SPD,Ines Seeger,official:scrape_26.pdf
