wkr,party,partei,name,source
7,bsw,BSW,Oliver Bart,https://www.landkreis-boerde.de/fileadmin/Dateiverwaltung_Downloads/Bekanntmachungen/2026/2026-07-29_Bekanntmachung_zugelassene_Kreiswahlvorschlaege_.pdf
7,cdu,CDU/CSU,Tim Teßmann,https://www.landkreis-boerde.de/fileadmin/Dateiverwaltung_Downloads/Bekanntmachungen/2026/2026-07-29_Bekanntmachung_zugelassene_Kreiswahlvorschlaege_.pdf
7,fdp,FDP,Pascal Weiser,https://www.landkreis-boerde.de/fileadmin/Dateiverwaltung_Downloads/Bekanntmachungen/2026/2026-07-29_Bekanntmachung_zugelassene_Kreiswahlvorschlaege_.pdf
7,gruene,GRÜNE,Philipp Händler,https://www.landkreis-boerde.de/fileadmin/Dateiverwaltung_Downloads/Bekanntmachungen/2026/2026-07-29_Bekanntmachung_zugelassene_Kreiswahlvorschlaege_.pdf
7,linke,LINKE,Arne Hornung,https://www.landkreis-boerde.de/fileadmin/Dateiverwaltung_Downloads/Bekanntmachungen/2026/2026-07-29_Bekanntmachung_zugelassene_Kreiswahlvorschlaege_.pdf
7,spd,SPD,Philipp Morgner,https://www.landkreis-boerde.de/fileadmin/Dateiverwaltung_Downloads/Bekanntmachungen/2026/2026-07-29_Bekanntmachung_zugelassene_Kreiswahlvorschlaege_.pdf
8,afd,AfD,Felix Zietmann,https://www.landkreis-boerde.de/fileadmin/Dateiverwaltung_Downloads/Bekanntmachungen/2026/2026-07-29_Bekanntmachung_zugelassene_Kreiswahlvorschlaege_.pdf
8,bsw,BSW,Michael Fürst,https://st.bsw-vg.de/landtagswahl-2026/
8,cdu,CDU/CSU,Christopher Schult,https://www.landkreis-boerde.de/fileadmin/Dateiverwaltung_Downloads/Bekanntmachungen/2026/2026-07-29_Bekanntmachung_zugelassene_Kreiswahlvorschlaege_.pdf
8,fdp,FDP,Björn Wasserthal,https://www.landkreis-boerde.de/fileadmin/Dateiverwaltung_Downloads/Bekanntmachungen/2026/2026-07-29_Bekanntmachung_zugelassene_Kreiswahlvorschlaege_.pdf
8,gruene,GRÜNE,Stefan Lehfeld,https://www.gruene-lsa.de/team2026/
8,linke,LINKE,Vanessa Mertens,https://www.landkreis-boerde.de/fileadmin/Dateiverwaltung_Downloads/Bekanntmachungen/2026/2026-07-29_Bekanntmachung_zugelassene_Kreiswahlvorschlaege_.pdf
8,spd,SPD,Katrin Gensecke,https://www.landkreis-boerde.de/fileadmin/Dateiverwaltung_Downloads/Bekanntmachungen/2026/2026-07-29_Bekanntmachung_zugelassene_Kreiswahlvorschlaege_.pdf
9,afd,AfD,Thomas Schmirander,https://www.landkreis-boerde.de/fileadmin/Dateiverwaltung_Downloads/Bekanntmachungen/2026/2026-07-29_Bekanntmachung_zugelassene_Kreiswahlvorschlaege_.pdf
9,bsw,BSW,Carsten Reiche,https://www.landkreis-boerde.de/fileadmin/Dateiverwaltung_Downloads/Bekanntmachungen/2026/2026-07-29_Bekanntmachung_zugelassene_Kreiswahlvorschlaege_.pdf
9,cdu,CDU/CSU,Guido Heuer,https://www.landkreis-boerde.de/fileadmin/Dateiverwaltung_Downloads/Bekanntmachungen/2026/2026-07-29_Bekanntmachung_zugelassene_Kreiswahlvorschlaege_.pdf
9,fdp,FDP,Adrian Gusinde,https://www.landkreis-boerde.de/fileadmin/Dateiverwaltung_Downloads/Bekanntmachungen/2026/2026-07-29_Bekanntmachung_zugelassene_Kreiswahlvorschlaege_.pdf
9,gruene,GRÜNE,Kristin Schuller,https://www.landkreis-boerde.de/fileadmin/Dateiverwaltung_Downloads/Bekanntmachungen/2026/2026-07-29_Bekanntmachung_zugelassene_Kreiswahlvorschlaege_.pdf
9,linke,LINKE,Sophie Manleitner,https://www.landkreis-boerde.de/fileadmin/Dateiverwaltung_Downloads/Bekanntmachungen/2026/2026-07-29_Bekanntmachung_zugelassene_Kreiswahlvorschlaege_.pdf
9,spd,SPD,Thorben Nick Rehak,https://www.landkreis-boerde.de/fileadmin/Dateiverwaltung_Downloads/Bekanntmachungen/2026/2026-07-29_Bekanntmachung_zugelassene_Kreiswahlvorschlaege_.pdf
10,cdu,CDU/CSU,Tim Rohne,https://www.cdulsa.de/landtagswahl-2026
10,fdp,FDP,Dr. Lydia Hüskens,https://fdp-md.de/project/ltwlsa2026/
10,gruene,GRÜNE,Rico Hermann,https://www.gruene-lsa.de/team2026/
10,linke,LINKE,Noah Biswanger,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
10,spd,SPD,Julia Brandt,https://spdsachsenanhalt.de/wahlkreise/
11,bsw,BSW,John Lucas Dittrich,https://st.bsw-vg.de/landtagswahl-2026/
11,cdu,CDU/CSU,Tobias Krull,https://www.cdulsa.de/landtagswahl-2026
11,fdp,FDP,Christian Daehre,https://fdp-md.de/project/ltwlsa2026/
11,gruene,GRÜNE,Madeleine Linke,https://www.gruene-lsa.de/team2026/
11,linke,LINKE,Mustafa Groener,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
11,spd,SPD,Dr. Falko Grube,https://spdsachsenanhalt.de/wahlkreise/
12,cdu,CDU/CSU,Sven Schulze,https://www.cdulsa.de/landtagswahl-2026
12,fdp,FDP,Thomas Gürke,https://fdp-md.de/project/ltwlsa2026/
12,gruene,GRÜNE,Michelle Angeli,https://www.gruene-lsa.de/team2026/
12,linke,LINKE,Eva von Angern,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
12,spd,SPD,Christian Hausmann,https://spdsachsenanhalt.de/wahlkreise/
13,cdu,CDU/CSU,Andreas Schumann,https://www.cdulsa.de/landtagswahl-2026
13,fdp,FDP,Daniela Tost,https://fdp-md.de/project/ltwlsa2026/
13,gruene,GRÜNE,Olaf Meister,https://www.gruene-lsa.de/team2026/
13,linke,LINKE,Dennis Jannack,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
13,spd,SPD,Ralph Blümel,https://spdsachsenanhalt.de/wahlkreise/
14,afd,AfD,Christian Ulrich Hecht,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
14,bsw,BSW,Monika Gehlis,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
14,cdu,CDU/CSU,Artjom Pusch,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
14,fdp,FDP,Felix Julius Krüger,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
14,fw,FW,Danny Becker,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
14,gruene,GRÜNE,Elke Ruth Lampka,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
14,linke,LINKE,Alexander Luft,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
