Wahl zum Landtag von Mecklenburg-Vorpommern am 20. September 2026
Zwischenergebnis der Wahlbezirke am 20.09.2026 um 20:45:37 Uhr - Stimmenanzahl der Parteien
Die Partei "Handwerker Partei Deutschland" führt keine Kurzbezeichnung.
(c) Der Landeswahlleiter Mecklenburg-Vorpommern

Berechnungsdatum;Ausgabe;Kreis;Kreisname;Wahlkreis;Wahlkreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirk;Wahlbezirksname;Wahlberechtigte;Wähler;Wahlbeteiligung;Erst-/Zweitstimme;Ungültige Stimmen;Gültige Stimmen;SPD;AfD;CDU;Die Linke;GRÜNE;FDP;Tierschutzpartei;FREIE WÄHLER;Die PARTEI;PIRATEN;ÖDP;Bündnis C;BSW;Handwerker Partei Deutschland;KPD;PdF;Team Freiheit;Volt;WLD;LfK;Einzelbewerber
20.09.2026 20:45:37;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;1;1/Rostock;1089;603;55,4;1;4;599;217;226;52;31;42;6;x;x;x;x;x;x;25;x;x;x;x;x;x;x;x
20.09.2026 20:45:37;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;1;1/Rostock;1089;603;55,4;1;0,7;99,3;36,2;37,7;8,7;5,2;7,0;1,0;x;x;x;x;x;x;4,2;x;x;x;x;x;x;x;x
20.09.2026 20:45:37;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;1;1/Rostock;1089;603;55,4;2;4;599;222;219;44;28;45;7;2;0;0;2;1;0;27;1;0;0;1;0;0;x;x
20.09.2026 20:45:37;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;1;1/Rostock;1089;603;55,4;2;0,7;99,3;37,1;36,6;7,3;4,7;7,5;1,2;0,3;0,0;0,0;0,3;0,2;0,0;4,5;0,2;0,0;0,0;0,2;0,0;0,0;x;x
20.09.2026 20:45:37;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;2;2/Rostock;732;420;57,4;1;1;419;179;122;28;26;25;8;x;x;x;x;x;x;31;x;x;x;x;x;x;x;x
20.09.2026 20:45:37;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;2;2/Rostock;732;420;57,4;1;0,2;99,8;42,7;29,1;6,7;6,2;6,0;1,9;x;x;x;x;x;x;7,4;x;x;x;x;x;x;x;x
20.09.2026 20:45:37;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;2;2/Rostock;732;420;57,4;2;1;419;165;125;27;25;33;5;1;0;1;0;0;0;35;0;0;1;0;1;0;x;x
20.09.2026 20:45:37;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;2;2/Rostock;732;420;57,4;2;0,2;99,8;39,4;29,8;6,4;6,0;7,9;1,2;0,2;0,0;0,2;0,0;0,0;0,0;8,4;0,0;0,0;0,2;0,0;0,2;0,0;x;x
20.09.2026 20:45:37;A;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;3;3/Rostock;1299;661;50,9;1;9;652;247;239;61;32;36;9;x;x;x;x;x;x;28;x;x;x;x;x;x;x;x
20.09.2026 20:45:37;P;3;Rostock, Hanse- und Universitätsstadt;4;Hansestadt Rostock I;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;3;3/Rostock;1299;661;50,9;1;1,4;98,6;37,9;36,7;9,4;4,9;5,5;1,4;x;x;x;x;x;x;4,3;x;x;x;x;x;x;x;x
