adresse,bezirk,art,wkr,gueltig,wber,truth_spd,base_spd,truth_cdu,base_cdu,truth_gruene,base_gruene,truth_linke,base_linke,truth_afd,base_afd,truth_fdp,base_fdp,truth_others,base_others
04B1G,04,B,23,212.0,0.0,24.528,23.474,45.283,21.596,6.132,14.085,5.189,7.042,7.547,15.023,4.717,8.92,6.604,9.859
04B1H,04,B,23,269.0,0.0,24.535,23.383,37.918,20.896,4.461,14.428,5.204,7.463,11.896,14.925,6.691,8.955,9.294,9.95
04B1I,04,B,23,177.0,0.0,20.904,22.995,37.288,20.321,7.91,14.973,7.91,8.021,12.994,14.439,2.825,9.091,10.169,10.16
04B1J,04,B,23,257.0,0.0,23.735,23.188,42.412,20.29,7.782,14.493,4.28,8.213,7.393,14.976,3.891,9.179,10.506,9.662
04B1K,04,B,23,234.0,0.0,25.214,23.445,26.068,20.574,25.214,14.833,8.12,8.134,6.41,15.311,2.137,8.612,6.838,9.091
04B1L,04,B,23,336.0,0.0,16.071,23.265,24.107,19.592,31.845,18.367,9.226,8.571,3.869,13.061,5.357,8.163,9.524,8.98
04B1M,04,B,23,332.0,0.0,21.386,23.661,17.169,19.643,30.422,17.857,12.651,8.482,4.819,13.393,6.627,8.482,6.928,8.482
04B1N,04,B,23,317.0,0.0,20.82,23.611,15.457,18.981,36.278,19.907,8.202,9.259,2.839,12.037,6.625,8.333,9.779,7.87
04B1P,04,B,23,335.0,0.0,19.403,23.661,21.791,19.196,29.254,20.089,12.239,9.375,1.493,12.054,5.97,8.482,9.851,7.143
04B1Q,04,B,23,336.0,0.0,16.667,23.958,31.25,19.792,24.405,18.75,8.631,8.854,3.274,13.021,8.333,8.854,7.44,6.771
04B1R,04,B,23,343.0,0.0,18.659,23.502,31.195,20.276,20.408,17.972,9.329,8.756,4.665,13.825,4.956,8.295,10.787,7.373
04B1S,04,B,23,324.0,0.0,19.753,23.936,19.753,20.213,32.407,19.149,10.494,9.043,4.63,12.766,6.173,8.511,6.79,6.383
04B2A,04,B,24,705.0,0.0,20.426,21.277,46.525,27.66,13.759,13.83,3.546,6.117,2.837,10.638,7.801,14.628,5.106,5.851
04B2B,04,B,24,760.0,0.0,21.974,20.439,40.132,29.054,14.737,14.527,5.395,6.081,2.632,8.277,9.868,15.878,5.263,5.743
04B2C,04,B,24,477.0,0.0,25.786,21.33,42.138,26.835,8.805,13.073,3.774,6.193,6.499,12.385,7.338,13.991,5.66,6.193
04B2D,04,B,24,386.0,0.0,20.984,22.086,41.192,26.994,11.658,13.804,4.922,6.135,6.736,9.202,8.808,14.417,5.699,7.362
04B2E,04,B,24,386.0,0.0,19.171,21.329,36.269,26.573,16.58,15.035,6.218,6.294,6.218,9.79,6.218,13.287,9.326,7.692
04B2F,04,B,24,341.0,0.0,27.859,21.739,26.1,26.812,24.047,15.217,8.211,6.159,4.692,9.783,3.226,13.043,5.865,7.246
04B2G,04,B,24,359.0,0.0,21.727,22.333,40.947,27.333,16.713,14.0,3.9,6.0,3.064,9.667,7.242,14.0,6.407,6.667
