party,name,birth_year,birth_place,residence,profession,source
fw,Jerome Querfurth,2003,Aschersleben,Thale,Veranstaltungstechniker,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
fw,Kay Gericke,1974,Magdeburg,Biederitz,Beamter,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
fw,Maik Mattheis,1963,Bad Schmiedeberg,Bad Schmiedeberg,Geschäftsführer Technik,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
fw,Maximilian Kullack,1999,Halle (Saale),Halle (Saale),Kommunalbeamter,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
fw,Norman Unger,2000,Lutherstadt Wittenberg,Lutherstadt Wittenberg,Kaufmann für audiovisuelle Medien,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
fw,Rebecca Resch,1987,Zeitz,Elsteraue,selbständige Osteopathin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
fw,Ronny Schneider,1982,Wolfen,Zörbig,IT-Systemadministrator,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
fw,Yvonne Krause,1973,Halle (Saale),Halle (Saale),Leitung Kindertagesstätte,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Alexander Michael,1987,Blankenburg,Burg,angest. Vertriebsleiter,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Beatrice Lindhorst,1985,Prenzlau,Lutherstadt Wittenberg,Online Marketing Managerin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Christine Reimann,1965,Hamburg,Südharz,Krankenschwester,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Darlin Höckendorff,2005,Burg,"Möckern, OT Wallwitz",Auszubildende,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Dennis Tobias Helmich,1991,Moers,Halle (Saale),Sozialwissenschaftler,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Dennis-Tobias Helmich,1991,Moers,Halle (Saale),Sozialwissenschaftler B.A.,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Elke Ruth Lampka,1958,Potsdam,Halberstadt,Ärztin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Felix Fugmann,2002,Lutherstadt Wittenberg,"Dessau-Roßlau, OT Meinsdorf",Personalreferent,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Friederike Larek,1998,Burg,Burg,Studentin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Janina Hampel,1986,Wolfen,Sandersdorf-Brehna,Dipl.-Lebensmittelchemikerin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Jascha Rihm,1999,Bremervörde,Halle (Saale),Politikwissenschaftler (B.A.),https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Kevin Pockrandt,2007,Aschersleben,Güsten,Schüler,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Klaus Plitzkat,1959,Hannover,"Nordharz, OT Wasserleben",Rentner,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Kristin Schuller,1972,Halberstadt,"Wanzleben-Börde, OT Hohendodeleben","Volljuristin, Rechtsassessorin",https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Lena Zehne,1999,Halle (Saale),Halle (Saale),Umwelt- und Politikwissenschaftlerin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Lennox Schrickel,2005,Wernigerode,Wernigerode,Student Wirtschaftsingenieurwesen,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Leon Lenny Elias Eisfelder-Mylius,2001,Hohenmölsen,Bad Dürrenberg,Schüler,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Leonie Bronkalla,1996,Grevenbroich,Dessau-Roßlau,Landschaftsökologin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Lisa Mertens,1986,Halle (Saale),Mansfeld,Winzerin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Luise Globig,1992,Zerbst,"Zerbst/Anhalt, OT Steutz",staatlich anerkannte Erzieherin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Madeleine Linke,1992,Goslar,Magdeburg,Ingenierin für Erneuerbare Energien,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Mamad Mohamad,1981,Kastel-Jendo (Syrien),Halle (Saale),Dipl.-Sozialpädagoge,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Marlyn Waga,1993,Schönebeck (Elbe),"Bördeland, OT Eickendorf",Softwareberater,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Martin Mertens-Keylock,1986,Milton Keynes,Aschersleben,Sicherheitsprüfer,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Martin Schäfer,1997,Weißenfels,Lutherstadt Wittenberg,IT-Projektmanagement,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Michael Dihlmann,1971,Vaihingen/Enz,Iden,Biolandwirt,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Michelle Angeli,1991,Zerbst,Magdeburg,Juristin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Miriam Bettina Zeller,1990,Freising,Hansestadt Stendal,Lehrerin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Miriam Zeller,1990,Freising,Hansestadt Stendal,Lehrerin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Nicole Walldorf,1974,Darmstadt,Halle (Saale),Kinderkrankenschwester,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Olaf Meister,1971,Magdeburg,Magdeburg,"Rechtsanwalt, MdL",https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Peter Paul Schneider,1955,Spiesen,Goseck,Unternehmer,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Philipp Händler,1989,Magdeburg,Magdeburg,Psychologe,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Ralf Hönicke,1972,Dortmund,Hohenmölsen,Diplom-Wirtschafts-Ingenieur,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Rico Herrmann,1985,Rostock,Magdeburg,Beamter,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Sandra Bauer,1983,Oschatz,"Giersleben, OT Strummendorf",Angestellte im Öffentlichen Dienst,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Sandra Sabine Lüder,1968,Lutherstadt Wittenberg,Lutherstadt Wittenberg,Pharmareferentin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Sandra Sinner,1991,Magdeburg,Magdeburg,Landesfinanzreferentin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Sascha Greiner,1987,Zeitz,Köthen (Anhalt),selbständig,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Stefan Garthoff,1985,Naumburg (Saale),Naumburg (Saale),Lehrer,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Stefan Lehfeld,1981,Wismar,"Hohe Börde, OT Niederndodeleben",Heilpädagoge,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Susan Sziborra-Seidlitz,1977,Berlin,Quedlinburg,Gesundheits- und Krankenpflegerin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Susanne Otto,1971,Zehdenick,Allstedt,Angestellte im Öffentlichen Dienst,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Tobias Kremkau,1985,Magdeburg,Magdeburg,Angestellter,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
gruene,Wolfgang Aldag,1968,Stuttgart,Halle (Saale),Landschaftsarchitekt,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Alexander Luft,1989,Perleberg,Halberstadt,Informatiker B.Sc.,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Andreas Pulst,1990,Köthen,Südliches Anhalt,Wirtschaftsjurist,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Andreas Tschurn,1984,Leipzig,Leuna,Pfarrer,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,André Röthel,1989,Sangerhausen,Sangerhausen,Fachausbilder,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Anne Siebert,2003,Quedlinburg,Halle (Saale),Historikerin B.A.,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Antonia Kaloff,1972,Halle (Saale),Magdeburg,Journalistin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Arne Hornung,2006,Magdeburg,"Wanzleben-Börde, OT Dreileben",Schüler,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Claudia Bolde,1980,Potsdam,Hansestadt Stendal,Rehabilitationspsychologin M.Sc.,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Denis Kreuzadler,1977,Berlin,Tangermünde,Bildungsreferent,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Dennis Jannack,1974,Magdeburg,Magdeburg,Angestellter,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Doreen Hainich,1967,Lutherstadt Eisleben,Lutherstadt Wittenberg,Beamtin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Eric Roman Stehr,2001,Weißenfels,Weißenfels,Student,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Eva von Angern,1976,Magdeburg,Magdeburg,Juristin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Georg Drechsler,1995,Nauen,Halle (Saale),Elektroingenieur,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Gitta Susann Hartenstein-Wiermann,1976,Zeitz,Halle (Saale),Kulturwissenschaftlerin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Hendrik Lange,1977,Quedlinburg,Halle (Saale),Diplom-Biologe,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Henriette Krebs,1985,Bernburg (Saale),Bernburg (Saale),Kommunikationswissenschaftlerin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Isabell Anton,2001,Lutherstadt Eisleben,Helbra,Betriebswirtschaftlerin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Jannik-Loris Balint,1996,Heilbronn,Halle (Saale),Elektro- und Informationstechniker,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Jasmin Blume,2000,Seehausen (Altmark),Hansestadt Stendal,Sozialpädagogin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Julia Mayer,1978,Halle (Saale),"Teutschental, OT Angersdorf",selbständige Berufspädagogin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Katja Käfer,1983,Halle (Saale),Harzgerode,Bürokauffrau,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Kay Lorenz,1987,Bernburg (Saale),"Könnern, OT Belleben",Erzieher,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Kevin Goldhahn,1990,Dessau,"Dessau-Roßlau, OT Großkühnau",Heilerziehungspfleger,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Leila Kim Eisfelder-Mylius,2003,Schkeuditz,"Braunsbedra, OT Krumpa",Industriekauffrau,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Lisa Marie Tuchen,1997,Beckendorf-Neindorf,Oschersleben (Bode),Staatlich anerkannte Erzieherin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Lukas Franke,1989,Quedlinburg,Blankenburg,Augenoptiker,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Maik Fye,1978,Blankenburg,Thale,Veranstaltungskaufmann für Konzert- und Theaterveranstaltungen,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Michael Scholz,1974,Naumburg (Saale),Naumburg (Saale),Software/Datenbank-Entwickler,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Mustafa Groener,1999,Magdeburg,Magdeburg,Angestellter,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Natalie Nagel,1992,Magdeburg,"Barby, OT Lödderitz",Psychologin M.Sc.,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Natalie Winzenhöller,2000,Wertheim am Main,Köthen (Anhalt),Ingenieurin für Pharmatechnik,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Nathalie Jasmin Roscher,2000,Chemnitz,Halle (Saale),Studentin der Humanmedizin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Nicklas Kurzweil,1997,Zeitz,Kretzschau,Mitarbeiter Bürgerdialog,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Noah Elias Biswanger,1999,Magdeburg,Magdeburg,Sozialwissenschaftler,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Rafael Rotermund,2002,Burg,Burg,Altenpfleger,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Raik Ohlmeyer,1982,Salzwedel,Hansestadt Salzwedel,Angestellter im öffentlichen Dienst,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,René Schernikau,1972,Osterburg,Goldbeck,Verbandsgemeindebürgermeister,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Rico Goroncy,1980,Wolmirstedt,Hansestadt Stendal,Versicherungskaufmann,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Sophie Manleitner,1998,Halberstadt,"Hötensleben, OT Wackersleben",Fachinformatikerin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Stefan Gebhardt,1974,Wippra,Hettstedt,MdL,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Stine Rummel-Strebelow,1980,Wernigerode,Dessau-Roßlau,Angestellte,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Thomas Erich Herbert Lippmann,1961,Weimar,Halle (Saale),Lehrer,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Toni Klabis,1987,Klötze,Klötze,Forstwirt,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Vanessa Mertens,1992,Wolmirstedt,Rogätz,Sozialarbeiterin (B.A.),https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Veit Kuhr,1971,Quedlinburg,Bernburg (Saale),Evangel. Diakon,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
linke,Wenke Marie Dargel,1992,Wittingen,Halle (Saale),Agrarwissenschaftlerin,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
spd,Aick Pietschmann,1987,Querfurt,Müchel (Geiseltal),Chemikant,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
spd,Alexander Riedle,1987,"Stamford, CT/USA",Gräfenhainichen,Politikwissenschaftler,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
spd,Caroline Müller,1985,Bernburg (Saale),Könnern,Sozialpädagogin B.A.,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
spd,Christian Hausmann,1974,Magdeburg,Loitsche-Heinrichsberg,Angestellter Landesverwaltung,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
spd,Daniel Frank Kutsche,1978,Erlabrunn,Dessau-Roßlau,Fachtrainer für bürgerliches Engagement,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
spd,Danilo Pee-Moch,1980,Sangerhausen,"Wettin-Löbejün, OT Nauendorf",Referatsleiter Haushalt,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
spd,Dieter Diederichs,1965,Güstrow,Hansestadt Salzwedel,"Bäcker, LKW-Fahrer",https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
spd,Dr. Andreas Schmidt,1970,Merseburg,Halle (Saale),Historiker,https://statistik.sachsen-anhalt.de/fileadmin/Bibliothek/Landesaemter/StaLa/startseite/Themen/Wahlen/Tabellen/Auswertung_VOeff_FgMI.xlsx
