"Ergebnisart";"Datum";"Uhrzeit";"Soll.Wahlbezirke";"Ist.Wahlbezirke";"Satzart";"Schlüsselnummer";"Name";"Wahllokal";"A.Wahlberechtigte";"B.Wähler";"E.Ungültige.Zweitstimmen";"F.Gültige.Zweitstimmen";"F01.CDU";"F02.AfD";"F03.Die Linke";"F04.SPD";"F05.FDP";"F06.GRÜNE";"F07.FREIE WÄHLER";"F08.dieBasis";"F09.Tierschutzpartei";"F10.Gartenpartei";"F11.Die PARTEI";"F12.TIERSCHUTZALLIANZ";"F15.BSW";"F19.PdF";"F20.Volt";"C.Ungültige.Erststimmen";"D.Gültige.Erststimmen";"D01.CDU";"D02.AfD";"D03.Die Linke";"D04.SPD";"D05.FDP";"D06.GRÜNE";"D07.FREIE WÄHLER";"D09.Tierschutzpartei";"D10.Gartenpartei";"D11.Die PARTEI";"D12.TIERSCHUTZALLIANZ";"D13.HEIMAT";"D15.BSW";"D19.PdF";"D20.Volt";"D21.EB";"Gewählt im Wahlkreis"
"Z";"06.09.2026";"20:11:11";57;39;"GEM";"15001000";"Dessau-Roßlau, Stadt";"U";38413;21769;250;21519;3299;9862;1649;1860;617;1968;189;20;277;107;58;114;1376;30;93;318;21451;5230;10476;2190;1618;889;710;239;;;;;99;;;;;""
"Z";"06.09.2026";"20:00:07";22;16;"GEM";"15001000";"Dessau-Roßlau, Stadt";"B";0;9362;43;9319;2472;1967;969;1266;356;1316;108;12;98;41;25;41;604;15;29;108;9254;3742;2050;1241;935;557;575;106;;;;;48;;;;;""
"Z";"06.09.2026";"20:11:11";79;55;"GEM";"15001000";"Dessau-Roßlau, Stadt";"";38413;31131;293;30838;5771;11829;2618;3126;973;3284;297;32;375;148;83;155;1980;45;122;426;30705;8972;12526;3431;2553;1446;1285;345;;;;;147;;;;;""
"Z";"06.09.2026";"20:04:34";126;53;"GEM";"15002000";"Halle (Saale), Stadt";"U";64187;32873;316;32557;3956;11353;3547;3515;921;6568;229;47;339;103;119;177;1518;37;128;357;32516;5733;11383;7854;2689;1059;2193;199;;;;;;1317;;;89;""
"Z";"06.09.2026";"20:03:27";60;27;"GEM";"15002000";"Halle (Saale), Stadt";"B";0;16822;69;16753;2631;2320;2413;2735;499;4783;156;26;136;72;62;68;767;31;54;98;16724;3616;2273;5937;1877;629;1414;135;;;;;;794;;;49;""
"Z";"06.09.2026";"20:04:34";186;80;"GEM";"15002000";"Halle (Saale), Stadt";"";64187;49695;385;49310;6587;13673;5960;6250;1420;11351;385;73;475;175;181;245;2285;68;182;455;49240;9349;13656;13791;4566;1688;3607;334;;;;;;2111;;;138;""
"Z";"06.09.2026";"20:11:03";148;104;"GEM";"15003000";"Magdeburg, Landeshauptstadt";"U";116407;57958;543;57415;7317;23495;5518;5763;1497;8361;296;96;513;757;162;471;2814;83;272;543;57415;12403;23754;9434;4179;1354;2210;;;1058;;400;;2411;;212;;""
"Z";"06.09.2026";"20:10:46";70;49;"GEM";"15003000";"Magdeburg, Landeshauptstadt";"B";0;33431;121;33310;6920;6058;4244;5197;1216;6216;191;45;262;435;97;276;1903;65;185;174;33257;10852;5916;6703;3543;1263;2017;;;790;;291;;1707;;175;;""
"Z";"06.09.2026";"20:11:03";218;153;"GEM";"15003000";"Magdeburg, Landeshauptstadt";"";116407;91389;664;90725;14237;29553;9762;10960;2713;14577;487;141;775;1192;259;747;4717;148;457;717;90672;23255;29670;16137;7722;2617;4227;;;1848;;691;;4118;;387;;""
"V";"06.09.2026";"19:03:27";3;3;"GEM";"15081026";"Apenburg-Winterfeld, Flecken";"U";1315;947;14;933;145;454;71;97;24;53;5;1;7;5;3;3;62;2;1;13;934;234;460;84;59;18;23;;;;9;;;47;;;;""
